Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
18:07:06.984,32,,,,,,,,,
18:07:07.135,32,99.0,,,,,,,,
18:07:07.224,32,99.0,0.0,,,,,,,
18:07:07.314,32,99.0,0.0,0.0,,,,,,
18:07:07.376,32,99.0,0.0,0.0,22.0,,,,,
18:07:07.495,32,99.0,0.0,0.0,22.0,0.91,,,,
18:07:07.585,32,99.0,0.0,0.0,22.0,0.91,89.0,,,
18:07:07.676,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,,
18:07:07.764,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,
18:07:07.825,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:07.915,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:07.975,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.064,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.125,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.214,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.275,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.364,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.425,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.514,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.575,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.664,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.725,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.814,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.875,32,99.0,0.0,0.0,22.0,0.91,89.0,22.0,14.1,14.5
18:07:08.965,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
18:07:09.025,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
18:07:09.114,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
18:07:09.175,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
18:07:09.265,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
18:07:09.326,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
18:07:09.415,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
