Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
07:39:53.870,30,,,,,,,,,
07:39:53.960,30,96.0,,,,,,,,
07:39:54.050,30,96.0,853.0,,,,,,,
07:39:54.140,30,96.0,853.0,0.0,,,,,,
07:39:54.230,30,96.0,853.0,0.0,27.0,,,,,
07:39:54.321,30,96.0,853.0,0.0,27.0,9.02,,,,
07:39:54.411,30,96.0,853.0,0.0,27.0,9.02,83.1,,,
07:39:54.500,30,96.0,853.0,0.0,27.0,9.02,83.1,19.0,,
07:39:54.591,30,96.0,853.0,0.0,27.0,9.02,83.1,19.0,14.1,
07:39:54.681,30,96.0,853.0,0.0,27.0,9.02,83.1,19.0,14.1,14.5
07:39:54.770,30,96.0,853.0,0.0,27.0,9.02,83.1,19.0,14.1,14.5
07:39:54.861,30,96.0,853.0,0.0,27.0,9.02,83.1,19.0,14.1,14.5
07:39:54.951,30,96.0,854.0,0.0,27.0,9.02,83.1,19.0,14.1,14.5
07:39:55.040,30,96.0,854.0,0.0,27.0,9.02,83.1,19.0,14.1,14.5
07:39:55.130,30,96.0,854.0,0.0,27.0,9.02,83.1,19.0,14.1,14.5
07:39:55.221,30,96.0,854.0,0.0,27.0,9.05,83.1,19.0,14.1,14.5
07:39:55.316,30,96.0,854.0,0.0,27.0,9.05,83.1,19.0,14.1,14.5
07:39:55.401,30,96.0,854.0,0.0,27.0,9.05,83.1,19.0,14.1,14.5
07:39:55.491,30,96.0,854.0,0.0,27.0,9.05,83.1,19.0,14.1,14.5
07:39:55.581,30,96.0,854.0,0.0,27.0,9.05,83.1,19.0,14.1,14.5
07:39:55.670,29,96.0,854.0,0.0,27.0,9.05,83.1,19.0,14.1,14.5
07:39:55.760,29,96.0,854.0,0.0,27.0,9.05,83.1,19.0,14.1,14.5
07:39:55.850,29,96.0,853.0,0.0,27.0,9.05,83.1,19.0,14.1,14.5
07:39:55.940,29,96.0,853.0,0.0,27.0,9.05,83.1,19.0,14.1,14.5
07:39:56.030,29,96.0,853.0,0.0,26.0,9.05,83.1,19.0,14.1,14.5
07:39:56.120,29,96.0,853.0,0.0,26.0,9.13,83.1,19.0,14.1,14.5
07:39:56.214,29,96.0,853.0,0.0,26.0,9.13,83.1,19.0,14.1,14.5
07:39:56.301,29,96.0,853.0,0.0,26.0,9.13,83.1,19.0,14.1,14.5
07:39:56.396,29,96.0,853.0,0.0,26.0,9.13,83.1,19.0,14.5,14.5
07:39:56.481,29,96.0,853.0,0.0,26.0,9.13,83.1,19.0,14.5,14.5
07:39:56.571,29,96.0,853.0,0.0,26.0,9.13,83.1,19.0,14.5,14.5
07:39:56.661,29,96.0,853.0,0.0,26.0,9.13,83.1,19.0,14.5,14.5
07:39:56.751,29,96.0,955.0,0.0,26.0,9.13,83.1,19.0,14.5,14.5
07:39:56.841,29,96.0,955.0,0.0,26.0,9.13,83.1,19.0,14.5,14.5
07:39:56.931,29,96.0,955.0,0.0,26.0,9.13,83.1,19.0,14.5,14.5
