Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
18:49:53.184,25,,,,,,,,,
18:49:53.275,25,97.0,,,,,,,,
18:49:53.424,25,97.0,0.0,,,,,,,
18:49:53.515,25,97.0,0.0,0.0,,,,,,
18:49:53.634,25,97.0,0.0,0.0,17.0,,,,,
18:49:53.725,25,97.0,0.0,0.0,17.0,0.88,,,,
18:49:53.814,25,97.0,0.0,0.0,17.0,0.88,89.0,,,
18:49:53.905,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,,
18:49:53.965,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,
18:49:54.054,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.115,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.204,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.265,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.354,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.415,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.504,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.565,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.654,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.715,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.804,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.865,25,96.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:54.954,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:55.015,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:55.104,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:55.165,25,97.0,0.0,0.0,17.0,0.88,89.0,18.0,14.1,14.5
18:49:55.255,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
18:49:55.315,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
18:49:55.404,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
18:49:55.465,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
18:49:55.554,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
18:49:55.615,25,97.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
18:49:55.704,25,93.0,0.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
18:49:55.765,25,93.0,1090.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
18:49:55.854,25,93.0,1090.0,0.0,17.0,2.88,89.0,18.0,14.1,14.5
18:49:55.915,25,93.0,1090.0,0.0,19.0,2.88,89.0,18.0,14.1,14.5
18:49:56.005,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
18:49:56.065,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
18:49:56.154,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
18:49:56.215,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
18:49:56.304,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
18:49:56.365,25,93.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
18:49:56.455,25,95.0,1090.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
18:49:56.515,25,95.0,960.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
18:49:56.604,25,95.0,960.0,0.0,19.0,17.61,89.0,18.0,14.1,14.5
18:49:56.665,25,95.0,960.0,0.0,33.0,17.61,89.0,18.0,14.1,14.5
18:49:56.754,25,95.0,960.0,0.0,33.0,15.99,89.0,18.0,14.1,14.5
18:49:56.815,25,95.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
18:49:56.904,25,95.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
18:49:56.965,25,95.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
18:49:57.055,25,95.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
18:49:57.116,25,95.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
18:49:57.206,25,96.0,960.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
18:49:57.266,25,96.0,901.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
18:49:57.355,25,96.0,901.0,0.0,33.0,15.99,83.1,18.0,14.1,14.5
18:49:57.416,25,96.0,901.0,0.0,34.0,15.99,83.1,18.0,14.1,14.5
18:49:57.505,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
18:49:57.568,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
18:49:57.656,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
18:49:57.717,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
18:49:57.805,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
18:49:57.866,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
18:49:57.955,25,96.0,901.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
18:49:58.016,25,96.0,886.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
18:49:58.105,25,96.0,886.0,0.0,34.0,15.11,83.1,18.0,14.1,14.5
18:49:58.166,25,96.0,886.0,0.0,33.0,15.11,83.1,18.0,14.1,14.5
18:49:58.254,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
18:49:58.315,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
18:49:58.404,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
18:49:58.466,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
18:49:58.555,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
18:49:58.616,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
18:49:58.705,25,96.0,886.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
18:49:58.766,25,96.0,863.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
18:49:58.856,25,96.0,863.0,0.0,33.0,14.47,83.1,18.0,14.1,14.5
18:49:58.916,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,14.1,14.5
18:49:59.005,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,14.1,14.5
18:49:59.066,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,14.1,14.5
18:49:59.155,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,14.1,14.5
18:49:59.215,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,15.7,14.5
18:49:59.304,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,15.7,15.3
18:49:59.395,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,15.7,15.3
18:49:59.455,25,96.0,863.0,0.0,32.0,14.47,83.1,18.0,15.7,15.3
18:49:59.515,25,96.0,899.0,0.0,32.0,14.47,83.1,18.0,15.7,15.3
18:49:59.604,25,96.0,899.0,0.0,32.0,14.47,83.1,18.0,15.7,15.3
18:49:59.665,25,96.0,899.0,0.0,31.0,14.47,83.1,18.0,15.7,15.3
18:49:59.785,25,96.0,899.0,0.0,31.0,14.83,83.1,18.0,15.7,15.3
18:49:59.874,25,96.0,899.0,0.0,31.0,14.83,83.1,18.0,15.7,15.3
18:49:59.965,25,96.0,899.0,0.0,31.0,14.83,83.1,18.0,15.7,15.3
18:50:00.055,25,96.0,899.0,0.0,31.0,14.83,83.1,18.0,15.7,15.3
18:50:00.116,25,96.0,899.0,0.0,31.0,14.83,83.1,18.0,15.7,15.7
18:50:00.205,25,96.0,899.0,0.0,31.0,14.83,83.1,18.0,15.7,15.7
18:50:00.271,25,96.0,899.0,0.0,31.0,14.83,83.1,18.0,15.7,15.7
18:50:00.355,25,96.0,923.0,0.0,31.0,14.83,83.1,18.0,15.7,15.7
18:50:00.415,25,96.0,923.0,0.0,31.0,14.83,83.1,18.0,15.7,15.7
18:50:00.505,25,96.0,923.0,0.0,30.0,14.83,83.1,18.0,15.7,15.7
18:50:00.576,25,96.0,923.0,0.0,30.0,15.33,83.1,18.0,15.7,15.7
18:50:00.654,25,96.0,923.0,0.0,30.0,15.33,83.1,18.0,15.7,15.7
18:50:00.715,25,96.0,923.0,0.0,30.0,15.33,83.1,18.0,15.7,15.7
18:50:00.804,25,96.0,923.0,0.0,30.0,15.33,83.1,18.0,16.5,15.7
18:50:00.865,25,96.0,923.0,0.0,30.0,15.33,83.1,18.0,16.5,16.1
18:50:00.954,25,96.0,923.0,0.0,30.0,15.33,83.1,18.0,16.5,16.1
18:50:01.015,25,97.0,923.0,0.0,30.0,15.33,83.1,18.0,16.5,16.1
18:50:01.104,25,97.0,911.0,0.0,30.0,15.33,83.1,18.0,16.5,16.1
18:50:01.166,25,97.0,911.0,0.0,30.0,15.33,83.1,18.0,16.5,16.1
18:50:01.255,25,97.0,911.0,0.0,30.0,15.33,83.1,18.0,16.5,16.1
18:50:01.316,25,97.0,911.0,0.0,30.0,15.19,83.1,18.0,16.5,16.1
18:50:01.405,25,97.0,911.0,0.0,30.0,15.19,83.1,18.0,16.5,16.1
18:50:01.466,25,97.0,911.0,0.0,30.0,15.19,83.1,18.0,16.5,16.1
18:50:01.554,25,97.0,911.0,0.0,30.0,15.19,83.1,18.0,14.1,16.1
