Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
21:11:18.386,27,,,,,,,,,
21:11:18.446,27,100.0,,,,,,,,
21:11:18.535,27,100.0,861.0,,,,,,,
21:11:18.596,27,100.0,861.0,0.0,,,,,,
21:11:18.685,27,100.0,861.0,0.0,25.0,,,,,
21:11:18.776,27,100.0,861.0,0.0,25.0,9.58,,,,
21:11:18.866,27,100.0,861.0,0.0,25.0,9.58,83.1,,,
21:11:18.956,27,100.0,861.0,0.0,25.0,9.58,83.1,21.0,,
21:11:19.046,27,100.0,861.0,0.0,25.0,9.58,83.1,21.0,14.1,
21:11:19.135,27,100.0,861.0,0.0,25.0,9.58,83.1,21.0,14.1,14.5
21:11:19.226,27,100.0,861.0,0.0,25.0,9.58,83.1,21.0,14.1,14.5
21:11:19.316,27,100.0,861.0,0.0,25.0,9.58,83.1,21.0,14.1,14.5
21:11:19.405,27,100.0,862.0,0.0,25.0,9.58,83.1,21.0,14.1,14.5
21:11:19.496,27,100.0,862.0,0.0,25.0,9.58,83.1,21.0,14.1,14.5
21:11:19.586,27,100.0,862.0,0.0,24.0,9.58,83.1,21.0,14.1,14.5
21:11:19.675,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
21:11:19.766,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
21:11:19.856,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
21:11:19.946,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
21:11:20.036,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
21:11:20.127,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
21:11:20.216,27,100.0,862.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
21:11:20.306,27,100.0,861.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
21:11:20.396,27,100.0,861.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
21:11:20.486,27,100.0,861.0,0.0,24.0,9.63,83.1,21.0,14.1,14.5
21:11:20.576,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:20.666,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:20.756,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:20.846,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:20.935,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:21.026,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:21.115,27,100.0,861.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:21.205,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:21.326,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:21.416,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:21.507,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:21.596,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:21.686,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:21.775,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:21.866,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:21.956,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:22.046,27,100.0,863.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:22.136,27,100.0,860.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:22.228,27,100.0,860.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:22.316,27,100.0,860.0,0.0,24.0,9.74,83.1,21.0,14.1,14.5
21:11:22.406,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,14.1,14.5
21:11:22.496,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,14.1,14.5
21:11:22.586,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,14.1,14.5
21:11:22.676,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,15.3,14.5
21:11:22.766,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
21:11:22.856,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
21:11:22.946,27,100.0,860.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
21:11:23.036,27,100.0,950.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
21:11:23.126,27,100.0,950.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
21:11:23.216,27,100.0,950.0,0.0,24.0,9.61,83.1,21.0,15.3,14.9
