Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
08:43:26.228,22,,,,,,,,,
08:43:26.318,22,97.0,,,,,,,,
08:43:26.408,22,97.0,890.0,,,,,,,
08:43:26.498,22,97.0,890.0,0.0,,,,,,
08:43:26.588,22,97.0,890.0,0.0,25.0,,,,,
08:43:26.678,22,97.0,890.0,0.0,25.0,10.27,,,,
08:43:26.768,22,97.0,890.0,0.0,25.0,10.27,83.1,,,
08:43:26.858,22,97.0,890.0,0.0,25.0,10.27,83.1,16.0,,
08:43:26.948,22,97.0,890.0,0.0,25.0,10.27,83.1,16.0,14.1,
08:43:27.038,22,97.0,890.0,0.0,25.0,10.27,83.1,16.0,14.1,14.5
08:43:27.128,22,97.0,890.0,0.0,25.0,10.27,83.1,16.0,14.1,14.5
08:43:27.218,22,97.0,890.0,0.0,25.0,10.27,83.1,16.0,14.1,14.5
08:43:27.308,22,97.0,889.0,0.0,25.0,10.27,83.1,16.0,14.1,14.5
08:43:27.398,22,97.0,889.0,0.0,25.0,10.27,83.1,16.0,14.1,14.5
08:43:27.488,22,97.0,889.0,0.0,25.0,10.27,83.1,16.0,14.1,14.5
08:43:27.578,22,97.0,889.0,0.0,25.0,10.41,83.1,16.0,14.1,14.5
08:43:27.668,22,97.0,889.0,0.0,25.0,10.41,83.1,16.0,14.1,14.5
08:43:27.757,22,97.0,889.0,0.0,25.0,10.41,83.1,16.0,14.1,14.5
08:43:27.848,22,97.0,889.0,0.0,25.0,10.41,83.1,16.0,14.1,14.5
08:43:27.938,22,97.0,889.0,0.0,25.0,10.41,83.1,16.0,14.1,14.5
08:43:28.028,22,97.0,889.0,0.0,25.0,10.41,83.1,16.0,14.1,14.5
08:43:28.118,22,98.0,889.0,0.0,25.0,10.41,83.1,16.0,14.1,14.5
08:43:28.208,22,98.0,890.0,0.0,25.0,10.41,83.1,16.0,14.1,14.5
08:43:28.297,22,98.0,890.0,0.0,25.0,10.41,83.1,16.0,14.1,14.5
08:43:28.388,22,98.0,890.0,0.0,24.0,10.41,83.1,16.0,14.1,14.5
08:43:28.478,22,98.0,890.0,0.0,24.0,10.22,83.1,16.0,14.1,14.5
