Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
19:52:48.092,32,,,,,,,,,
19:52:48.187,32,99.0,,,,,,,,
19:52:48.273,32,99.0,0.0,,,,,,,
19:52:48.361,32,99.0,0.0,0.0,,,,,,
19:52:48.451,32,99.0,0.0,0.0,23.0,,,,,
19:52:48.542,32,99.0,0.0,0.0,23.0,0.91,,,,
19:52:48.641,32,99.0,0.0,0.0,23.0,0.91,89.0,,,
19:52:48.721,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,,
19:52:48.812,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,
19:52:48.901,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:48.992,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:49.082,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:49.172,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:49.262,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:49.352,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:49.443,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:49.533,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:49.623,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:49.742,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:49.832,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:49.922,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:50.043,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:50.133,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:50.226,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:50.312,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:50.402,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:50.492,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:50.582,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:50.672,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:50.762,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:50.852,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:50.942,32,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:51.032,32,99.0,146.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:51.122,32,99.0,146.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:51.212,32,99.0,146.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:52:51.303,32,99.0,146.0,0.0,23.0,8.77,89.0,22.0,14.1,14.5
19:52:51.393,32,99.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
19:52:51.482,32,99.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
19:52:51.571,32,99.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
19:52:51.662,32,99.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
19:52:51.751,32,99.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
19:52:51.841,32,97.0,146.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
19:52:51.932,32,97.0,995.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
19:52:52.021,32,97.0,995.0,0.0,23.0,8.77,87.5,22.0,14.1,14.5
19:52:52.111,32,97.0,995.0,0.0,28.0,8.77,87.5,22.0,14.1,14.5
19:52:52.201,32,97.0,995.0,0.0,28.0,9.94,87.5,22.0,14.1,14.5
19:52:52.291,32,97.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
19:52:52.381,32,97.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
19:52:52.442,32,97.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
19:52:52.532,32,97.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
19:52:52.621,32,97.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
19:52:52.712,32,99.0,995.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
19:52:52.802,32,99.0,890.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
19:52:52.892,32,99.0,890.0,0.0,28.0,9.94,83.1,22.0,14.1,14.5
19:52:52.982,32,99.0,890.0,0.0,37.0,9.94,83.1,22.0,14.1,14.5
19:52:53.072,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
19:52:53.162,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
19:52:53.252,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
19:52:53.342,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
19:52:53.432,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
19:52:53.522,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
19:52:53.612,32,99.0,890.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
19:52:53.703,32,99.0,862.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
19:52:53.793,32,99.0,862.0,0.0,37.0,8.91,83.1,22.0,14.1,14.5
19:52:53.883,32,99.0,862.0,0.0,34.0,8.91,83.1,22.0,14.1,14.5
19:52:53.972,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
19:52:54.062,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
19:52:54.152,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
19:52:54.242,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
19:52:54.332,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
19:52:54.393,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
19:52:54.482,32,99.0,862.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
19:52:54.572,32,99.0,839.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
19:52:54.662,32,99.0,839.0,0.0,34.0,8.8,83.1,22.0,14.1,14.5
19:52:54.753,32,99.0,839.0,0.0,33.0,8.8,83.1,22.0,14.1,14.5
19:52:54.842,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
19:52:54.932,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
19:52:55.022,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
19:52:55.112,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
19:52:55.202,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
19:52:55.292,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
19:52:55.382,32,99.0,839.0,0.0,33.0,8.91,83.1,22.0,14.1,14.5
