Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
07:28:41.017,25,,,,,,,,,
07:28:41.107,25,98.0,,,,,,,,
07:28:41.168,25,98.0,869.0,,,,,,,
07:28:41.258,25,98.0,869.0,0.0,,,,,,
07:28:41.348,25,98.0,869.0,0.0,22.0,,,,,
07:28:41.439,25,98.0,869.0,0.0,22.0,9.72,,,,
07:28:41.528,25,98.0,869.0,0.0,22.0,9.72,83.1,,,
07:28:41.618,25,98.0,869.0,0.0,22.0,9.72,83.1,20.0,,
07:28:41.708,25,98.0,869.0,0.0,22.0,9.72,83.1,20.0,14.1,
07:28:41.769,25,98.0,869.0,0.0,22.0,9.72,83.1,20.0,14.1,14.5
07:28:41.858,25,98.0,869.0,0.0,22.0,9.72,83.1,20.0,14.1,14.5
07:28:41.920,25,98.0,869.0,0.0,22.0,9.72,83.1,20.0,14.1,14.5
07:28:42.008,25,98.0,870.0,0.0,22.0,9.72,83.1,20.0,14.1,14.5
07:28:42.070,25,98.0,870.0,0.0,22.0,9.72,83.1,20.0,14.1,14.5
07:28:42.158,25,98.0,870.0,0.0,22.0,9.72,83.1,20.0,14.1,14.5
07:28:42.220,25,98.0,870.0,0.0,22.0,9.97,83.1,20.0,14.1,14.5
07:28:42.308,25,98.0,870.0,0.0,22.0,9.97,83.1,20.0,14.1,14.5
07:28:42.370,25,98.0,870.0,0.0,22.0,9.97,83.1,20.0,14.1,14.5
07:28:42.458,25,98.0,870.0,0.0,22.0,9.97,83.1,20.0,14.1,14.5
07:28:42.548,25,98.0,870.0,0.0,22.0,9.97,83.1,20.0,14.1,14.5
07:28:42.637,25,98.0,870.0,0.0,22.0,9.97,83.1,20.0,14.1,14.5
07:28:42.728,25,98.0,870.0,0.0,22.0,9.97,83.1,20.0,14.1,14.5
07:28:42.819,25,98.0,869.0,0.0,22.0,9.97,83.1,20.0,14.1,14.5
07:28:42.908,25,98.0,869.0,0.0,22.0,9.97,83.1,20.0,14.1,14.5
07:28:42.970,25,98.0,869.0,0.0,22.0,9.97,83.1,20.0,14.1,14.5
07:28:43.058,25,98.0,869.0,0.0,22.0,9.83,83.1,20.0,14.1,14.5
07:28:43.119,25,98.0,869.0,0.0,22.0,9.83,83.1,20.0,14.1,14.5
07:28:43.208,25,98.0,869.0,0.0,22.0,9.83,83.1,20.0,14.1,14.5
07:28:43.271,25,98.0,869.0,0.0,22.0,9.83,83.1,20.0,14.1,14.5
07:28:43.358,25,98.0,869.0,0.0,22.0,9.83,83.1,20.0,14.1,14.5
07:28:43.419,25,98.0,869.0,0.0,22.0,9.83,83.1,20.0,14.1,14.5
