Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
18:53:09.635,55,,,,,,,,,
18:53:09.724,55,97.0,,,,,,,,
18:53:09.785,55,97.0,0.0,,,,,,,
18:53:09.874,55,97.0,0.0,0.0,,,,,,
18:53:09.935,55,97.0,0.0,0.0,28.0,,,,,
18:53:10.024,55,97.0,0.0,0.0,28.0,0.91,,,,
18:53:10.085,55,97.0,0.0,0.0,28.0,0.91,88.6,,,
18:53:10.174,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,,
18:53:10.235,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,
18:53:10.324,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:10.385,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:10.475,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:10.567,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:10.656,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:10.745,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:10.835,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:10.925,55,97.0,0.0,0.0,28.0,0.91,89.0,25.0,14.1,14.5
18:53:10.987,55,97.0,0.0,0.0,28.0,0.91,89.0,25.0,14.1,14.5
18:53:11.074,55,97.0,0.0,0.0,28.0,0.91,89.0,25.0,14.1,14.5
18:53:11.195,55,97.0,0.0,0.0,28.0,0.91,89.0,25.0,14.1,14.5
18:53:11.285,55,97.0,0.0,0.0,28.0,0.91,89.0,25.0,14.1,14.5
18:53:11.375,55,97.0,0.0,0.0,28.0,0.91,89.0,25.0,14.1,14.5
18:53:11.436,55,97.0,0.0,0.0,28.0,0.91,89.0,25.0,14.1,14.5
18:53:11.534,55,97.0,0.0,0.0,28.0,0.91,89.0,25.0,14.1,14.5
18:53:11.586,55,97.0,0.0,0.0,28.0,0.91,89.0,25.0,14.1,14.5
18:53:11.675,55,97.0,0.0,0.0,28.0,0.91,89.0,25.0,14.1,14.5
18:53:11.736,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:11.826,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:11.894,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:11.974,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:12.036,55,97.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:12.125,55,96.0,0.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:12.185,55,96.0,205.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:12.275,55,96.0,205.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:12.335,55,96.0,205.0,0.0,28.0,0.91,88.6,25.0,14.1,14.5
18:53:12.425,55,96.0,205.0,0.0,28.0,10.41,88.6,25.0,14.1,14.5
18:53:12.486,55,96.0,205.0,0.0,28.0,10.41,83.5,25.0,14.1,14.5
18:53:12.575,55,96.0,205.0,0.0,28.0,10.41,83.5,25.0,14.1,14.5
18:53:12.636,55,96.0,205.0,0.0,28.0,10.41,83.5,25.0,14.1,14.5
18:53:12.725,55,96.0,205.0,0.0,28.0,10.41,83.5,25.0,14.1,14.5
18:53:12.815,55,96.0,205.0,0.0,28.0,10.41,83.5,25.0,14.1,14.5
18:53:12.905,55,95.0,205.0,0.0,28.0,10.41,83.5,25.0,14.1,14.5
18:53:13.004,55,95.0,929.0,0.0,28.0,10.41,83.5,25.0,14.1,14.5
18:53:13.084,55,95.0,929.0,0.0,28.0,10.41,83.5,25.0,14.1,14.5
18:53:13.175,55,95.0,929.0,0.0,38.0,10.41,83.5,25.0,14.1,14.5
18:53:13.236,55,95.0,929.0,0.0,38.0,7.66,83.5,25.0,14.1,14.5
18:53:13.325,55,95.0,929.0,0.0,38.0,7.66,83.1,25.0,14.1,14.5
18:53:13.385,55,95.0,929.0,0.0,38.0,7.66,83.1,25.0,14.1,14.5
18:53:13.475,55,95.0,929.0,0.0,38.0,7.66,83.1,25.0,14.1,14.5
18:53:13.536,55,95.0,929.0,0.0,38.0,7.66,83.1,25.0,14.1,14.5
18:53:13.625,55,95.0,929.0,0.0,38.0,7.66,83.1,25.0,14.1,14.5
18:53:13.686,55,97.0,929.0,0.0,38.0,7.66,83.1,25.0,14.1,14.5
18:53:13.775,55,97.0,831.0,0.0,38.0,7.66,83.1,25.0,14.1,14.5
18:53:13.836,55,97.0,831.0,0.0,38.0,7.66,83.1,25.0,14.1,14.5
18:53:13.925,55,97.0,831.0,0.0,37.0,7.66,83.1,25.0,14.1,14.5
18:53:13.986,55,97.0,831.0,0.0,37.0,7.02,83.1,25.0,14.1,14.5
18:53:14.074,55,97.0,831.0,0.0,37.0,7.02,83.1,25.0,14.1,14.5
18:53:14.135,55,97.0,831.0,0.0,37.0,7.02,83.1,25.0,14.1,14.5
18:53:14.225,55,97.0,831.0,0.0,37.0,7.02,83.1,25.0,14.5,14.5
18:53:14.286,55,97.0,831.0,0.0,37.0,7.02,83.1,25.0,14.5,14.5
18:53:14.378,55,97.0,831.0,0.0,37.0,7.02,83.1,25.0,14.5,14.5
18:53:14.437,55,98.0,831.0,0.0,37.0,7.02,83.1,25.0,14.5,14.5
18:53:14.525,55,98.0,794.0,0.0,37.0,7.02,83.1,25.0,14.5,14.5
18:53:14.587,55,98.0,794.0,0.0,37.0,7.02,83.1,25.0,14.5,14.5
18:53:14.675,55,98.0,794.0,0.0,36.0,7.02,83.1,25.0,14.5,14.5
18:53:14.735,55,98.0,794.0,0.0,36.0,6.86,83.1,25.0,14.5,14.5
18:53:14.824,55,98.0,794.0,0.0,36.0,6.86,83.1,25.0,14.5,14.5
18:53:14.886,55,98.0,794.0,0.0,36.0,6.86,83.1,25.0,14.5,14.5
18:53:14.976,55,98.0,794.0,0.0,36.0,6.86,83.1,25.0,14.1,14.5
18:53:15.038,55,98.0,794.0,0.0,36.0,6.86,83.1,25.0,14.1,14.5
18:53:15.125,55,98.0,794.0,0.0,36.0,6.86,83.1,25.0,14.1,14.5
18:53:15.186,55,98.0,794.0,0.0,36.0,6.86,83.1,25.0,14.1,14.5
18:53:15.275,55,98.0,771.0,0.0,36.0,6.86,83.1,25.0,14.1,14.5
18:53:15.340,55,98.0,771.0,0.0,36.0,6.86,83.1,25.0,14.1,14.5
18:53:15.424,55,98.0,771.0,0.0,35.0,6.86,83.1,25.0,14.1,14.5
18:53:15.486,55,98.0,771.0,0.0,35.0,6.88,83.1,25.0,14.1,14.5
18:53:15.575,55,98.0,771.0,0.0,35.0,6.88,83.1,25.0,14.1,14.5
18:53:15.636,55,98.0,771.0,0.0,35.0,6.88,83.1,25.0,14.1,14.5
18:53:15.725,55,98.0,771.0,0.0,35.0,6.88,83.1,25.0,15.3,14.5
18:53:15.786,55,98.0,771.0,0.0,35.0,6.88,83.1,25.0,15.3,14.9
18:53:15.875,55,98.0,771.0,0.0,35.0,6.88,83.1,25.0,15.3,14.9
18:53:15.938,55,98.0,771.0,0.0,35.0,6.88,83.1,25.0,15.3,14.9
18:53:16.037,55,98.0,928.0,0.0,35.0,6.88,83.1,25.0,15.3,14.9
18:53:16.145,55,98.0,928.0,0.0,35.0,6.88,83.1,25.0,15.3,14.9
18:53:16.235,55,98.0,928.0,0.0,36.0,6.88,83.1,25.0,15.3,14.9
18:53:16.324,55,98.0,928.0,0.0,36.0,8.77,83.1,25.0,15.3,14.9
18:53:16.385,55,98.0,928.0,0.0,36.0,8.77,83.1,25.0,15.3,14.9
18:53:16.474,55,98.0,928.0,0.0,36.0,8.77,83.1,25.0,15.3,14.9
18:53:16.536,55,98.0,928.0,0.0,36.0,8.77,83.1,25.0,15.3,14.9
18:53:16.625,55,98.0,928.0,0.0,36.0,8.77,83.1,25.0,15.3,14.9
18:53:16.688,55,98.0,928.0,0.0,36.0,8.77,83.1,25.0,15.3,14.9
18:53:16.779,55,99.0,928.0,0.0,36.0,8.77,83.1,25.0,15.3,14.9
18:53:16.838,55,99.0,908.0,0.0,36.0,8.77,83.1,25.0,15.3,14.9
18:53:16.926,55,99.0,908.0,0.0,36.0,8.77,83.1,25.0,15.3,14.9
18:53:16.985,55,99.0,908.0,0.0,36.0,8.77,83.1,25.0,15.3,14.9
18:53:17.074,55,99.0,908.0,0.0,36.0,8.36,83.1,25.0,15.3,14.9
18:53:17.135,55,99.0,908.0,0.0,36.0,8.36,83.1,25.0,15.3,14.9
18:53:17.225,55,99.0,908.0,0.0,36.0,8.36,83.1,25.0,15.3,14.9
18:53:17.286,55,99.0,908.0,0.0,36.0,8.36,83.1,25.0,15.3,14.9
18:53:17.375,55,99.0,908.0,0.0,36.0,8.36,83.1,25.0,15.3,14.9
18:53:17.437,55,99.0,908.0,0.0,36.0,8.36,83.1,25.0,15.3,14.9
18:53:17.524,55,100.0,908.0,0.0,36.0,8.36,83.1,25.0,15.3,14.9
18:53:17.586,55,100.0,920.0,0.0,36.0,8.36,83.1,25.0,15.3,14.9
18:53:17.675,55,100.0,920.0,0.0,36.0,8.36,83.1,25.0,15.3,14.9
18:53:17.795,55,100.0,920.0,0.0,36.0,8.36,83.1,25.0,15.3,14.9
18:53:17.915,55,100.0,920.0,0.0,36.0,8.41,83.1,25.0,15.3,14.9
18:53:17.976,55,100.0,920.0,0.0,36.0,8.41,83.1,25.0,15.3,14.9
18:53:18.036,55,100.0,920.0,0.0,36.0,8.41,83.1,25.0,15.3,14.9
18:53:18.184,55,100.0,920.0,0.0,36.0,8.41,83.1,25.0,15.3,14.9
18:53:18.274,55,100.0,920.0,0.0,36.0,8.41,83.1,25.0,15.3,14.9
18:53:18.335,55,100.0,920.0,0.0,36.0,8.41,83.1,25.0,15.3,14.9
