Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
09:21:00.614,75,,,,,,,,,
09:21:00.704,75,101.0,,,,,,,,
09:21:00.854,75,101.0,941.0,,,,,,,
09:21:00.975,75,101.0,941.0,16.0,,,,,,
09:21:01.155,75,101.0,941.0,16.0,50.0,,,,,
09:21:01.334,75,101.0,941.0,16.0,50.0,7.88,,,,
09:21:01.456,75,101.0,941.0,16.0,50.0,7.88,83.5,,,
09:21:01.544,75,101.0,941.0,16.0,50.0,7.88,83.5,26.0,,
09:21:01.635,75,101.0,941.0,16.0,50.0,7.88,83.5,26.0,22.0,
09:21:01.754,75,101.0,941.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
09:21:01.878,75,101.0,941.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
09:21:02.056,75,101.0,941.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
09:21:02.176,75,101.0,965.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
09:21:02.295,75,101.0,965.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
09:21:02.475,75,101.0,965.0,16.0,50.0,7.88,83.5,26.0,22.0,22.0
09:21:02.565,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,22.0,22.0
09:21:02.688,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,22.0,22.0
09:21:02.779,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,22.0,22.0
09:21:02.906,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,34.5,22.0
09:21:02.985,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,34.5,34.5
09:21:03.106,75,101.0,965.0,16.0,50.0,12.05,83.5,26.0,34.5,34.5
