Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
19:05:25.389,33,,,,,,,,,
19:05:25.458,33,99.0,,,,,,,,
19:05:25.578,33,99.0,0.0,,,,,,,
19:05:25.697,33,99.0,0.0,0.0,,,,,,
19:05:25.821,33,99.0,0.0,0.0,23.0,,,,,
19:05:25.908,33,99.0,0.0,0.0,23.0,0.91,,,,
19:05:26.028,33,99.0,0.0,0.0,23.0,0.91,89.0,,,
19:05:26.119,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,,
19:05:26.207,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,
19:05:26.327,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:26.506,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:26.954,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:27.133,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:27.374,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:27.701,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:27.970,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:28.090,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:28.298,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:28.716,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:28.866,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:28.985,33,99.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:29.076,33,98.0,0.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:29.165,33,98.0,943.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:29.284,33,98.0,943.0,0.0,23.0,0.91,89.0,22.0,14.1,14.5
19:05:29.404,33,98.0,943.0,0.0,34.0,0.91,89.0,22.0,14.1,14.5
19:05:29.494,33,98.0,943.0,0.0,34.0,9.72,89.0,22.0,14.1,14.5
19:05:29.673,33,98.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
19:05:29.792,33,98.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
19:05:29.882,33,98.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
19:05:30.001,33,98.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
19:05:30.092,33,98.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
19:05:30.210,33,99.0,943.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
19:05:30.302,33,99.0,860.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
19:05:30.449,33,99.0,860.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
19:05:30.631,33,99.0,860.0,0.0,34.0,9.72,83.1,22.0,14.1,14.5
19:05:30.750,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.1,14.5
19:05:30.928,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.1,14.5
19:05:31.136,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.1,14.5
19:05:31.227,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
19:05:31.377,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
19:05:31.555,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
19:05:32.063,33,99.0,860.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
19:05:32.393,33,99.0,913.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
19:05:32.810,33,99.0,913.0,0.0,34.0,8.72,83.1,22.0,14.9,14.5
19:05:33.080,33,99.0,913.0,0.0,33.0,8.72,83.1,22.0,14.9,14.5
19:05:33.410,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.9,14.5
19:05:33.681,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.9,14.5
19:05:34.069,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.9,14.5
19:05:34.191,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
19:05:34.310,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
19:05:34.431,33,99.0,913.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
19:05:34.520,33,100.0,913.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
19:05:34.729,33,100.0,955.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
19:05:34.820,33,100.0,955.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
19:05:35.029,33,100.0,955.0,0.0,33.0,10.02,83.1,22.0,14.1,14.5
19:05:35.239,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
19:05:35.330,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
19:05:35.449,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
19:05:35.569,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
19:05:35.689,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
19:05:35.869,33,100.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
19:05:36.049,33,101.0,955.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
19:05:36.171,33,101.0,956.0,0.0,33.0,10.19,83.1,22.0,14.1,14.5
19:05:36.259,33,101.0,956.0,1.0,33.0,10.19,83.1,22.0,14.1,14.5
19:05:36.379,33,101.0,956.0,1.0,32.0,10.19,83.1,22.0,14.1,14.5
19:05:36.500,33,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
19:05:36.680,33,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
19:05:36.770,33,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
19:05:36.890,33,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
19:05:37.190,33,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
19:05:37.609,32,101.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
19:05:38.359,32,102.0,956.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
19:05:38.509,32,102.0,936.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
19:05:39.019,32,102.0,936.0,1.0,32.0,10.49,83.1,22.0,14.1,14.5
19:05:39.140,32,102.0,936.0,1.0,31.0,10.49,83.1,22.0,14.1,14.5
19:05:39.440,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
19:05:39.649,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
19:05:39.800,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
19:05:39.979,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
19:05:40.070,32,102.0,936.0,1.0,31.0,10.44,83.1,22.0,14.1,14.5
