Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
07:37:14.075,26,,,,,,,,,
07:37:14.164,26,99.0,,,,,,,,
07:37:14.284,26,99.0,864.0,,,,,,,
07:37:14.405,26,99.0,864.0,0.0,,,,,,
07:37:14.523,26,99.0,864.0,0.0,19.0,,,,,
07:37:14.705,26,99.0,864.0,0.0,19.0,9.69,,,,
07:37:14.794,26,99.0,864.0,0.0,19.0,9.69,83.1,,,
07:37:14.921,26,99.0,864.0,0.0,19.0,9.69,83.1,18.0,,
07:37:15.095,26,99.0,864.0,0.0,19.0,9.69,83.1,18.0,14.1,
07:37:15.216,26,99.0,864.0,0.0,19.0,9.69,83.1,18.0,14.1,14.5
07:37:15.394,26,99.0,864.0,0.0,19.0,9.69,83.1,18.0,14.1,14.5
07:37:15.545,26,98.0,864.0,0.0,19.0,9.69,83.1,18.0,14.1,14.5
07:37:15.695,26,98.0,863.0,0.0,19.0,9.69,83.1,18.0,14.1,14.5
07:37:15.819,26,98.0,863.0,0.0,19.0,9.69,83.1,18.0,14.1,14.5
07:37:16.024,26,98.0,863.0,0.0,20.0,9.69,83.1,18.0,14.1,14.5
07:37:16.145,26,98.0,863.0,0.0,20.0,9.63,83.1,18.0,14.1,14.5
07:37:16.236,26,98.0,863.0,0.0,20.0,9.63,83.1,18.0,14.1,14.5
07:37:16.357,26,98.0,863.0,0.0,20.0,9.63,83.1,18.0,14.1,14.5
07:37:16.535,26,98.0,863.0,0.0,20.0,9.63,83.1,18.0,15.3,14.5
07:37:17.167,26,98.0,863.0,0.0,20.0,9.63,83.1,18.0,15.3,14.9
07:37:17.406,26,98.0,863.0,0.0,20.0,9.63,83.1,18.0,15.3,14.9
07:37:17.885,26,99.0,863.0,0.0,20.0,9.63,83.1,18.0,15.3,14.9
07:37:17.977,26,99.0,893.0,0.0,20.0,9.63,83.1,18.0,15.3,14.9
