Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
07:33:24.786,34,,,,,,,,,
07:33:24.876,34,98.0,,,,,,,,
07:33:24.995,34,98.0,835.0,,,,,,,
07:33:25.116,34,98.0,835.0,0.0,,,,,,
07:33:25.205,34,98.0,835.0,0.0,26.0,,,,,
07:33:25.328,34,98.0,835.0,0.0,26.0,8.49,,,,
07:33:25.506,34,98.0,835.0,0.0,26.0,8.49,83.1,,,
07:33:25.628,34,98.0,835.0,0.0,26.0,8.49,83.1,20.0,,
07:33:25.715,34,98.0,835.0,0.0,26.0,8.49,83.1,20.0,14.1,
07:33:25.925,34,98.0,835.0,0.0,26.0,8.49,83.1,20.0,14.1,14.5
07:33:26.016,34,98.0,835.0,0.0,26.0,8.49,83.1,20.0,14.1,14.5
07:33:26.106,34,97.0,835.0,0.0,26.0,8.49,83.1,20.0,14.1,14.5
07:33:26.255,34,97.0,833.0,0.0,26.0,8.49,83.1,20.0,14.1,14.5
07:33:26.435,34,97.0,833.0,0.0,26.0,8.49,83.1,20.0,14.1,14.5
07:33:26.526,34,97.0,833.0,0.0,26.0,8.49,83.1,20.0,14.1,14.5
07:33:26.617,34,97.0,833.0,0.0,26.0,8.44,83.1,20.0,14.1,14.5
07:33:26.735,34,97.0,833.0,0.0,26.0,8.44,83.1,20.0,14.1,14.5
07:33:26.826,34,97.0,833.0,0.0,26.0,8.44,83.1,20.0,14.1,14.5
07:33:26.945,34,97.0,833.0,0.0,26.0,8.44,83.1,20.0,14.1,14.5
07:33:27.072,34,97.0,833.0,0.0,26.0,8.44,83.1,20.0,14.1,14.5
07:33:27.246,34,97.0,833.0,0.0,26.0,8.44,83.1,20.0,14.1,14.5
07:33:27.397,34,97.0,833.0,0.0,26.0,8.44,83.1,20.0,14.1,14.5
07:33:27.765,34,97.0,833.0,0.0,26.0,8.44,83.1,20.0,14.1,14.5
07:33:28.298,34,97.0,833.0,0.0,26.0,8.44,83.1,20.0,14.1,14.5
07:33:28.511,34,97.0,833.0,0.0,26.0,8.44,83.1,20.0,14.1,14.5
07:33:28.627,34,97.0,833.0,0.0,26.0,8.61,83.1,20.0,14.1,14.5
07:33:28.836,34,97.0,833.0,0.0,26.0,8.61,83.1,20.0,14.1,14.5
07:33:29.017,34,97.0,833.0,0.0,26.0,8.61,83.1,20.0,14.1,14.5
07:33:29.110,34,97.0,833.0,0.0,26.0,8.61,83.1,20.0,14.1,14.5
07:33:29.198,34,97.0,833.0,0.0,26.0,8.61,83.1,20.0,14.1,14.5
07:33:29.287,34,97.0,833.0,0.0,26.0,8.61,83.1,20.0,14.1,14.5
