Time,Engine Coolant Temperature [Â°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [Â°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [Â°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
19:04:23.903,51,,,,,,,,,
19:04:23.993,51,97.0,,,,,,,,
19:04:24.083,51,97.0,0.0,,,,,,,
19:04:24.172,51,97.0,0.0,0.0,,,,,,
19:04:24.325,51,97.0,0.0,0.0,83.0,,,,,
19:04:24.504,51,97.0,0.0,0.0,83.0,0.0,,,,
19:04:24.596,51,97.0,0.0,0.0,83.0,0.0,89.0,,,
19:04:24.712,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,,
19:04:24.835,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,14.1,
19:04:24.955,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,14.1,14.5
19:04:25.133,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,14.1,14.5
19:04:25.193,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,14.1,14.5
19:04:25.253,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,14.1,14.5
19:04:25.463,51,97.0,0.0,0.0,83.0,0.0,89.0,14.0,14.1,14.5
19:04:25.553,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
19:04:25.644,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
19:04:25.733,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
19:04:25.825,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
19:04:25.944,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
19:04:26.068,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
19:04:26.154,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
19:04:26.273,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
19:04:26.395,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
19:04:26.544,51,97.0,0.0,0.0,82.0,0.0,89.0,14.0,14.1,14.5
19:04:26.605,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
19:04:26.757,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
19:04:26.815,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
19:04:26.906,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
19:04:27.024,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
19:04:27.174,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
19:04:27.294,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
19:04:27.413,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
19:04:27.595,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
19:04:27.686,51,97.0,0.0,0.0,81.0,0.0,89.0,14.0,14.1,14.5
19:04:27.775,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
19:04:27.895,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
19:04:27.985,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
19:04:28.046,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
19:04:28.253,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
19:04:28.314,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
19:04:28.404,51,97.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
19:04:28.493,51,197.0,0.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
19:04:28.554,51,197.0,775.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
19:04:28.736,51,197.0,775.0,0.0,79.0,0.0,89.0,14.0,14.1,14.5
19:04:28.826,51,197.0,775.0,0.0,78.0,0.0,89.0,14.0,14.1,14.5
19:04:28.914,51,197.0,775.0,0.0,78.0,16.05,89.0,14.0,14.1,14.5
19:04:29.034,51,197.0,775.0,0.0,78.0,16.05,83.1,14.0,14.1,14.5
19:04:29.123,51,197.0,775.0,0.0,78.0,16.05,83.1,14.0,14.1,14.5
19:04:29.244,51,197.0,775.0,0.0,78.0,16.05,83.1,14.0,22.7,14.5
19:04:29.337,51,197.0,775.0,0.0,78.0,16.05,83.1,14.0,22.7,22.7
19:04:29.454,51,197.0,775.0,0.0,78.0,16.05,83.1,14.0,22.7,22.7
19:04:29.547,51,97.0,775.0,0.0,78.0,16.05,83.1,14.0,22.7,22.7
19:04:29.634,51,97.0,1173.0,0.0,78.0,16.05,83.1,14.0,22.7,22.7
19:04:29.725,51,97.0,1173.0,2.0,78.0,16.05,83.1,14.0,22.7,22.7
19:04:29.844,51,97.0,1173.0,2.0,55.0,16.05,83.1,14.0,22.7,22.7
19:04:29.966,51,97.0,1173.0,2.0,55.0,17.52,83.1,14.0,22.7,22.7
