Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
14:15:47.209,43,,,,,,,,,
14:15:47.299,43,95.0,,,,,,,,
14:15:47.389,43,95.0,0.0,,,,,,,
14:15:47.480,43,95.0,0.0,0.0,,,,,,
14:15:47.569,43,95.0,0.0,0.0,29.0,,,,,
14:15:47.659,43,95.0,0.0,0.0,29.0,0.91,,,,
14:15:47.750,43,95.0,0.0,0.0,29.0,0.91,89.0,,,
14:15:47.839,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,,
14:15:47.929,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,
14:15:48.019,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:48.109,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:48.200,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:48.289,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:48.380,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:48.469,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:48.559,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:48.649,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:48.740,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:48.830,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:48.937,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:49.009,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:49.099,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:49.189,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:49.279,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:49.369,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:49.460,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:49.549,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:49.639,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:49.729,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:49.819,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:49.909,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:50.029,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:50.119,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:50.209,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:50.299,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:50.389,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:50.484,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:50.579,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:50.658,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:50.748,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:50.839,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:50.929,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:51.019,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:51.109,43,95.0,0.0,0.0,28.0,0.91,89.0,1.0,14.1,14.5
14:15:51.200,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:51.290,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:51.379,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:51.468,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:51.558,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:51.648,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:51.738,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:51.829,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:51.919,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:52.009,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:52.099,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:52.189,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:52.279,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:52.369,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:52.459,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:52.549,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:52.639,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:52.728,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:52.818,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:52.908,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:53.117,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:53.207,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:53.298,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:53.387,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:53.478,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:53.568,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:53.659,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:53.748,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:53.838,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:53.928,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:54.018,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:54.108,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:54.198,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:54.288,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:54.378,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:54.468,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:54.558,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:54.648,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:54.738,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:54.828,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:54.918,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.007,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.098,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.188,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.279,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.368,43,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.458,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.548,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.638,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.728,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.818,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.908,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:55.998,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:56.088,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:56.179,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:56.269,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:56.359,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:56.449,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:56.538,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:56.675,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:56.748,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:56.838,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:56.928,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:57.018,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:57.107,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:57.198,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:57.288,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:57.378,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:57.468,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:57.558,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:57.648,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:57.738,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:57.828,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
14:15:57.917,42,95.0,0.0,0.0,29.0,0.91,89.0,1.0,14.1,14.5
