Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
11:36:57.239,11,,,,,,,,,
11:36:57.330,11,96.0,,,,,,,,
11:36:57.419,11,96.0,0.0,,,,,,,
11:36:57.510,11,96.0,0.0,0.0,,,,,,
11:36:57.599,11,96.0,0.0,0.0,4.0,,,,,
11:36:57.689,11,96.0,0.0,0.0,4.0,0.86,,,,
11:36:57.779,11,96.0,0.0,0.0,4.0,0.86,89.0,,,
11:36:57.869,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,,
11:36:57.960,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,
11:36:58.049,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
11:36:58.139,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
11:36:58.229,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
11:36:58.319,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
11:36:58.409,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
11:36:58.499,11,96.0,0.0,0.0,4.0,0.86,89.0,6.0,14.1,14.5
11:36:58.590,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
11:36:58.679,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
11:36:58.770,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
11:36:58.859,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
11:36:58.949,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
11:36:59.039,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
11:36:59.129,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
11:36:59.219,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
11:36:59.309,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
11:36:59.460,11,96.0,0.0,0.0,4.0,0.88,89.0,6.0,14.1,14.5
11:36:59.549,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.1,14.5
11:36:59.669,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.1,14.5
11:36:59.759,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.1,14.5
11:36:59.849,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
11:36:59.939,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
11:37:00.030,11,96.0,0.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
11:37:00.120,11,94.0,0.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
11:37:00.210,11,94.0,1068.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
11:37:00.299,11,94.0,1068.0,0.0,4.0,1.72,89.0,6.0,14.5,14.5
11:37:00.389,11,94.0,1068.0,0.0,8.0,1.72,89.0,6.0,14.5,14.5
11:37:00.479,11,94.0,1068.0,0.0,8.0,17.86,89.0,6.0,14.5,14.5
11:37:00.569,11,94.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.5,14.5
11:37:00.659,11,94.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.5,14.5
11:37:00.749,11,94.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
11:37:00.839,11,94.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
11:37:00.929,11,94.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
11:37:01.019,11,95.0,1068.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
11:37:01.109,11,95.0,994.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
11:37:01.199,11,95.0,994.0,0.0,8.0,17.86,83.1,6.0,14.1,14.5
11:37:01.290,11,95.0,994.0,0.0,21.0,17.86,83.1,6.0,14.1,14.5
11:37:01.379,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.1,14.5
11:37:01.469,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.1,14.5
11:37:01.559,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.1,14.5
11:37:01.649,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.5,14.5
11:37:01.739,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.5,14.1
11:37:01.829,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.5,14.1
11:37:01.919,11,95.0,994.0,0.0,21.0,16.86,83.1,6.0,14.5,14.1
11:37:02.009,11,95.0,949.0,0.0,21.0,16.86,83.1,6.0,14.5,14.1
11:37:02.099,11,95.0,949.0,0.0,21.0,16.86,83.1,6.0,14.5,14.1
11:37:02.189,11,95.0,949.0,0.0,20.0,16.86,83.1,6.0,14.5,14.1
11:37:02.279,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.1
11:37:02.369,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.1
11:37:02.459,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.1
11:37:02.550,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.1
11:37:02.640,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.5
11:37:02.729,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.5
11:37:02.819,11,95.0,949.0,0.0,20.0,15.61,83.1,6.0,14.5,14.5
11:37:02.909,11,95.0,908.0,0.0,20.0,15.61,83.1,6.0,14.5,14.5
11:37:03.000,11,95.0,908.0,1.0,20.0,15.61,83.1,6.0,14.5,14.5
11:37:03.089,11,95.0,908.0,1.0,19.0,15.61,83.1,6.0,14.5,14.5
11:37:03.179,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
11:37:03.270,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
11:37:03.359,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
11:37:03.449,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
11:37:03.539,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
11:37:03.629,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
11:37:03.720,11,95.0,908.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
11:37:03.809,11,95.0,905.0,1.0,19.0,15.44,83.1,6.0,14.5,14.5
11:37:03.899,11,95.0,905.0,2.0,19.0,15.44,83.1,6.0,14.5,14.5
11:37:03.989,11,95.0,905.0,2.0,18.0,15.44,83.1,6.0,14.5,14.5
11:37:04.079,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.5,14.5
11:37:04.170,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.5,14.5
11:37:04.289,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.5,14.5
11:37:04.380,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.1,14.5
11:37:04.470,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.1,14.5
11:37:04.560,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.1,14.5
11:37:04.649,11,95.0,905.0,2.0,18.0,15.52,83.1,6.0,14.1,14.5
11:37:04.739,11,95.0,1020.0,2.0,18.0,15.52,83.1,6.0,14.1,14.5
11:37:04.830,11,95.0,1020.0,3.0,18.0,15.52,83.1,6.0,14.1,14.5
11:37:04.919,11,95.0,1020.0,3.0,17.0,15.52,83.1,6.0,14.1,14.5
11:37:05.009,11,95.0,1020.0,3.0,17.0,17.19,83.1,6.0,14.1,14.5
11:37:05.100,11,95.0,1020.0,3.0,17.0,17.19,83.1,6.0,14.1,14.5
11:37:05.189,11,95.0,1020.0,3.0,17.0,17.19,83.1,6.0,14.1,14.5
11:37:05.279,11,95.0,1020.0,3.0,17.0,17.19,83.1,6.0,14.1,14.5
11:37:05.369,11,95.0,1020.0,3.0,17.0,17.19,83.1,6.0,14.1,14.5
11:37:05.459,11,95.0,1020.0,3.0,17.0,17.19,83.1,6.0,14.1,14.5
11:37:05.550,11,96.0,1020.0,3.0,17.0,17.19,83.1,6.0,14.1,14.5
11:37:05.639,11,96.0,977.0,3.0,17.0,17.19,83.1,6.0,14.1,14.5
11:37:05.729,11,96.0,977.0,3.0,17.0,17.19,83.1,6.0,14.1,14.5
11:37:05.819,11,96.0,977.0,3.0,17.0,17.19,83.1,6.0,14.1,14.5
11:37:05.909,11,96.0,977.0,3.0,17.0,16.52,83.1,6.0,14.1,14.5
11:37:05.999,11,96.0,977.0,3.0,17.0,16.52,83.1,6.0,14.1,14.5
11:37:06.089,11,96.0,977.0,3.0,17.0,16.52,83.1,6.0,14.1,14.5
11:37:06.179,11,96.0,977.0,3.0,17.0,16.52,83.1,6.0,14.1,14.5
11:37:06.269,11,96.0,977.0,3.0,17.0,16.52,83.1,6.0,14.1,14.5
11:37:06.359,11,96.0,977.0,3.0,17.0,16.52,83.1,6.0,14.1,14.5
11:37:06.449,11,96.0,977.0,3.0,17.0,16.52,83.1,6.0,14.1,14.5
11:37:06.540,11,96.0,960.0,3.0,17.0,16.52,83.1,6.0,14.1,14.5
11:37:06.630,11,96.0,960.0,3.0,17.0,16.52,83.1,6.0,14.1,14.5
11:37:06.719,11,96.0,960.0,3.0,16.0,16.52,83.1,6.0,14.1,14.5
11:37:06.809,11,96.0,960.0,3.0,16.0,16.3,83.1,6.0,14.1,14.5
11:37:06.899,11,96.0,960.0,3.0,16.0,16.3,83.1,6.0,14.1,14.5
11:37:06.990,11,96.0,960.0,3.0,16.0,16.3,83.1,6.0,14.1,14.5
11:37:07.081,11,96.0,960.0,3.0,16.0,16.3,83.1,6.0,14.1,14.5
11:37:07.169,11,96.0,960.0,3.0,16.0,16.3,83.1,6.0,14.1,14.5
11:37:07.259,11,96.0,960.0,3.0,16.0,16.3,83.1,6.0,14.1,14.5
11:37:07.350,11,96.0,960.0,3.0,16.0,16.3,83.1,6.0,14.1,14.5
11:37:07.440,11,96.0,954.0,3.0,16.0,16.3,83.1,6.0,14.1,14.5
11:37:07.529,11,96.0,954.0,3.0,16.0,16.3,83.1,6.0,14.1,14.5
11:37:07.619,11,96.0,954.0,3.0,15.0,16.3,83.1,6.0,14.1,14.5
11:37:07.709,11,96.0,954.0,3.0,15.0,16.66,83.1,6.0,14.1,14.5
11:37:07.800,11,96.0,954.0,3.0,15.0,16.66,83.1,6.0,14.1,14.5
11:37:07.889,11,96.0,954.0,3.0,15.0,16.66,83.1,6.0,14.1,14.5
11:37:07.980,11,96.0,954.0,3.0,15.0,16.66,83.1,6.0,14.1,14.5
11:37:08.069,11,96.0,954.0,3.0,15.0,16.66,83.1,6.0,14.1,14.5
11:37:08.159,11,96.0,954.0,3.0,15.0,16.66,83.1,6.0,14.1,14.5
11:37:08.249,11,97.0,954.0,3.0,15.0,16.66,83.1,6.0,14.1,14.5
11:37:08.339,11,97.0,964.0,3.0,15.0,16.66,83.1,6.0,14.1,14.5
11:37:08.430,11,97.0,964.0,2.0,15.0,16.66,83.1,6.0,14.1,14.5
11:37:08.519,11,97.0,964.0,2.0,15.0,16.66,83.1,6.0,14.1,14.5
11:37:08.609,11,97.0,964.0,2.0,15.0,16.58,83.1,6.0,14.1,14.5
11:37:08.700,11,97.0,964.0,2.0,15.0,16.58,83.1,6.0,14.1,14.5
11:37:08.790,11,97.0,964.0,2.0,15.0,16.58,83.1,6.0,14.1,14.5
11:37:08.880,11,97.0,964.0,2.0,15.0,16.58,83.1,6.0,14.5,14.5
11:37:08.969,11,97.0,964.0,2.0,15.0,16.58,83.1,6.0,14.5,14.9
11:37:09.059,11,97.0,964.0,2.0,15.0,16.58,83.1,6.0,14.5,14.9
11:37:09.149,11,97.0,964.0,2.0,15.0,16.58,83.1,6.0,14.5,14.9
11:37:09.239,11,97.0,934.0,2.0,15.0,16.58,83.1,6.0,14.5,14.9
11:37:09.329,11,97.0,934.0,2.0,15.0,16.58,83.1,6.0,14.5,14.9
11:37:09.419,11,97.0,934.0,2.0,15.0,16.58,83.1,6.0,14.5,14.9
11:37:09.509,11,97.0,934.0,2.0,15.0,14.94,83.1,6.0,14.5,14.9
11:37:09.599,11,97.0,934.0,2.0,15.0,14.94,83.1,6.0,14.5,14.9
11:37:09.689,11,97.0,934.0,2.0,15.0,14.94,83.1,6.0,14.5,14.9
11:37:09.779,11,97.0,934.0,2.0,15.0,14.94,83.1,6.0,15.7,14.9
11:37:09.869,11,97.0,934.0,2.0,15.0,14.94,83.1,6.0,15.7,15.7
11:37:09.959,11,97.0,934.0,2.0,15.0,14.94,83.1,6.0,15.7,15.7
11:37:10.049,11,97.0,934.0,2.0,15.0,14.94,83.1,6.0,15.7,15.7
11:37:10.140,11,97.0,868.0,2.0,15.0,14.94,83.1,6.0,15.7,15.7
11:37:10.229,11,97.0,868.0,6.0,15.0,14.94,83.1,6.0,15.7,15.7
11:37:10.319,11,97.0,868.0,6.0,14.0,14.94,83.1,6.0,15.7,15.7
11:37:10.410,11,97.0,868.0,6.0,14.0,14.24,83.1,6.0,15.7,15.7
11:37:10.499,11,97.0,868.0,6.0,14.0,14.24,83.1,6.0,15.7,15.7
11:37:10.590,11,97.0,868.0,6.0,14.0,14.24,83.1,6.0,15.7,15.7
11:37:10.679,11,97.0,868.0,6.0,14.0,14.24,83.1,6.0,22.7,15.7
11:37:10.770,11,97.0,868.0,6.0,14.0,14.24,83.1,6.0,22.7,23.9
11:37:10.860,11,97.0,868.0,6.0,14.0,14.24,83.1,6.0,22.7,23.9
11:37:10.949,11,98.0,868.0,6.0,14.0,14.24,83.1,6.0,22.7,23.9
11:37:11.039,11,98.0,1245.0,6.0,14.0,14.24,83.1,6.0,22.7,23.9
11:37:11.129,11,98.0,1245.0,11.0,14.0,14.24,83.1,6.0,22.7,23.9
11:37:11.219,11,98.0,1245.0,11.0,13.0,14.24,83.1,6.0,22.7,23.9
11:37:11.309,11,98.0,1245.0,11.0,13.0,27.52,83.1,6.0,22.7,23.9
11:37:11.399,11,98.0,1245.0,11.0,13.0,27.52,83.1,6.0,22.7,23.9
11:37:11.489,11,98.0,1245.0,11.0,13.0,27.52,83.1,6.0,22.7,23.9
11:37:11.579,11,98.0,1245.0,11.0,13.0,27.52,83.1,6.0,36.5,23.9
11:37:11.669,11,98.0,1245.0,11.0,13.0,27.52,83.1,6.0,36.5,36.5
11:37:11.760,11,98.0,1245.0,11.0,13.0,27.52,83.1,6.0,36.5,36.5
11:37:11.849,11,113.0,1245.0,11.0,13.0,27.52,83.1,6.0,36.5,36.5
11:37:11.939,11,113.0,1813.0,11.0,13.0,27.52,83.1,6.0,36.5,36.5
11:37:12.029,11,113.0,1813.0,16.0,13.0,27.52,83.1,6.0,36.5,36.5
11:37:12.119,11,113.0,1813.0,16.0,16.0,27.52,83.1,6.0,36.5,36.5
11:37:12.209,11,113.0,1813.0,16.0,16.0,38.58,83.1,6.0,36.5,36.5
11:37:12.299,11,113.0,1813.0,16.0,16.0,38.58,62.4,6.0,36.5,36.5
11:37:12.389,11,113.0,1813.0,16.0,16.0,38.58,62.4,6.0,36.5,36.5
11:37:12.479,11,113.0,1813.0,16.0,16.0,38.58,62.4,6.0,14.1,36.5
11:37:12.569,11,113.0,1813.0,16.0,16.0,38.58,62.4,6.0,14.1,14.9
11:37:12.659,11,113.0,1813.0,16.0,16.0,38.58,62.4,6.0,14.1,14.9
11:37:12.749,11,96.0,1813.0,16.0,16.0,38.58,62.4,6.0,14.1,14.9
11:37:12.839,11,96.0,1224.0,16.0,16.0,38.58,62.4,6.0,14.1,14.9
11:37:12.929,11,96.0,1224.0,16.0,16.0,38.58,62.4,6.0,14.1,14.9
11:37:13.020,11,96.0,1224.0,16.0,17.0,38.58,62.4,6.0,14.1,14.9
11:37:13.109,11,96.0,1224.0,16.0,17.0,24.13,62.4,6.0,14.1,14.9
11:37:13.199,11,96.0,1224.0,16.0,17.0,24.13,74.9,6.0,14.1,14.9
11:37:13.289,11,96.0,1224.0,16.0,17.0,24.13,74.9,6.0,14.1,14.9
11:37:13.379,11,96.0,1224.0,16.0,17.0,24.13,74.9,6.0,22.4,14.9
11:37:13.469,11,96.0,1224.0,16.0,17.0,24.13,74.9,6.0,22.4,22.0
11:37:13.589,11,96.0,1224.0,16.0,17.0,24.13,74.9,6.0,22.4,22.0
11:37:13.682,11,101.0,1224.0,16.0,17.0,24.13,74.9,6.0,22.4,22.0
11:37:13.770,11,101.0,1056.0,16.0,17.0,24.13,74.9,6.0,22.4,22.0
11:37:13.860,11,101.0,1056.0,18.0,17.0,24.13,74.9,6.0,22.4,22.0
11:37:13.950,11,101.0,1056.0,18.0,14.0,24.13,74.9,6.0,22.4,22.0
11:37:14.039,11,101.0,1056.0,18.0,14.0,19.52,74.9,6.0,22.4,22.0
11:37:14.129,11,101.0,1056.0,18.0,14.0,19.52,83.5,6.0,22.4,22.0
11:37:14.220,11,101.0,1056.0,18.0,14.0,19.52,83.5,6.0,22.4,22.0
11:37:14.309,11,101.0,1056.0,18.0,14.0,19.52,83.5,6.0,20.0,22.0
11:37:14.399,11,101.0,1056.0,18.0,14.0,19.52,83.5,6.0,20.0,20.0
11:37:14.490,11,101.0,1056.0,18.0,14.0,19.52,83.5,6.0,20.0,20.0
11:37:14.579,11,100.0,1056.0,18.0,14.0,19.52,83.5,6.0,20.0,20.0
11:37:14.670,11,100.0,1113.0,18.0,14.0,19.52,83.5,6.0,20.0,20.0
11:37:14.763,11,100.0,1113.0,19.0,14.0,19.52,83.5,6.0,20.0,20.0
11:37:14.850,11,100.0,1113.0,19.0,13.0,19.52,83.5,6.0,20.0,20.0
11:37:14.940,11,100.0,1113.0,19.0,13.0,19.72,83.5,6.0,20.0,20.0
11:37:15.030,11,100.0,1113.0,19.0,13.0,19.72,83.5,6.0,20.0,20.0
11:37:15.120,11,100.0,1113.0,19.0,13.0,19.72,83.5,6.0,20.0,20.0
11:37:15.210,11,100.0,1113.0,19.0,13.0,19.72,83.5,6.0,14.1,20.0
11:37:15.302,11,100.0,1113.0,19.0,13.0,19.72,83.5,6.0,14.1,14.5
11:37:15.390,11,100.0,1113.0,19.0,13.0,19.72,83.5,6.0,14.1,14.5
11:37:15.480,11,96.0,1113.0,19.0,13.0,19.72,83.5,6.0,14.1,14.5
11:37:15.573,11,96.0,1118.0,19.0,13.0,19.72,83.5,6.0,14.1,14.5
11:37:15.660,11,96.0,1118.0,19.0,13.0,19.72,83.5,6.0,14.1,14.5
11:37:15.750,11,96.0,1118.0,19.0,13.0,19.72,83.5,6.0,14.1,14.5
11:37:15.840,11,96.0,1118.0,19.0,13.0,19.16,83.5,6.0,14.1,14.5
11:37:15.930,11,96.0,1118.0,19.0,13.0,19.16,83.5,6.0,14.1,14.5
11:37:16.020,11,96.0,1118.0,19.0,13.0,19.16,83.5,6.0,14.1,14.5
11:37:16.110,11,96.0,1118.0,19.0,13.0,19.16,83.5,6.0,14.1,14.5
11:37:16.170,11,96.0,1118.0,19.0,13.0,19.16,83.5,6.0,14.1,14.5
11:37:16.259,11,96.0,1118.0,19.0,13.0,19.16,83.5,6.0,14.1,14.5
