Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
07:08:07.489,8,,,,,,,,,
07:08:07.579,8,97.0,,,,,,,,
07:08:07.669,8,97.0,0.0,,,,,,,
07:08:07.759,8,97.0,0.0,0.0,,,,,,
07:08:07.849,8,97.0,0.0,0.0,2.0,,,,,
07:08:07.939,8,97.0,0.0,0.0,2.0,0.86,,,,
07:08:08.029,8,97.0,0.0,0.0,2.0,0.86,88.6,,,
07:08:08.119,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,,
07:08:08.209,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.5,
07:08:08.300,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.5,14.5
07:08:08.389,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.5,14.5
07:08:08.479,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.5,14.5
07:08:08.569,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.5,14.5
07:08:08.659,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.5,14.5
07:08:08.749,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.5,14.5
07:08:08.839,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.5,14.5
07:08:08.929,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.5,14.5
07:08:09.019,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.5,14.5
07:08:09.110,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:09.199,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:09.289,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:09.379,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:09.469,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:09.559,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:09.649,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:09.739,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:09.829,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:09.919,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:10.009,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:10.099,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:10.189,8,97.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:10.280,8,196.0,0.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:10.369,8,196.0,198.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:10.459,8,196.0,198.0,0.0,2.0,0.86,88.6,4.0,14.1,14.5
07:08:10.549,8,196.0,198.0,0.0,3.0,0.86,88.6,4.0,14.1,14.5
07:08:10.639,8,196.0,198.0,0.0,3.0,2.74,88.6,4.0,14.1,14.5
07:08:10.729,8,196.0,198.0,0.0,3.0,2.74,88.6,4.0,14.1,14.5
07:08:10.819,8,196.0,198.0,0.0,3.0,2.74,88.6,4.0,14.1,14.5
07:08:10.909,8,196.0,198.0,0.0,3.0,2.74,88.6,4.0,14.1,14.5
07:08:10.999,8,196.0,198.0,0.0,3.0,2.74,88.6,4.0,14.1,14.5
07:08:11.089,8,196.0,198.0,0.0,3.0,2.74,88.6,4.0,14.1,14.5
07:08:11.179,8,96.0,198.0,0.0,3.0,2.74,88.6,4.0,14.1,14.5
07:08:11.299,8,96.0,1117.0,0.0,3.0,2.74,88.6,4.0,14.1,14.5
07:08:11.389,8,96.0,1117.0,0.0,3.0,2.74,88.6,4.0,14.1,14.5
07:08:11.479,8,96.0,1117.0,0.0,9.0,2.74,88.6,4.0,14.1,14.5
07:08:11.569,8,96.0,1117.0,0.0,9.0,18.69,88.6,4.0,14.1,14.5
07:08:11.659,8,96.0,1117.0,0.0,9.0,18.69,83.1,4.0,14.1,14.5
07:08:11.749,8,96.0,1117.0,0.0,9.0,18.69,83.1,4.0,14.1,14.5
07:08:11.839,8,96.0,1117.0,0.0,9.0,18.69,83.1,4.0,14.1,14.5
07:08:11.929,8,96.0,1117.0,0.0,9.0,18.69,83.1,4.0,14.1,14.5
07:08:12.019,8,96.0,1117.0,0.0,9.0,18.69,83.1,4.0,14.1,14.5
07:08:12.109,8,95.0,1117.0,0.0,9.0,18.69,83.1,4.0,14.1,14.5
07:08:12.199,8,95.0,1030.0,0.0,9.0,18.69,83.1,4.0,14.1,14.5
07:08:12.289,8,95.0,1030.0,0.0,9.0,18.69,83.1,4.0,14.1,14.5
07:08:12.379,8,95.0,1030.0,0.0,15.0,18.69,83.1,4.0,14.1,14.5
07:08:12.469,8,95.0,1030.0,0.0,15.0,17.47,83.1,4.0,14.1,14.5
07:08:12.559,8,95.0,1030.0,0.0,15.0,17.47,83.1,4.0,14.1,14.5
07:08:12.649,8,95.0,1030.0,0.0,15.0,17.47,83.1,4.0,14.1,14.5
07:08:12.739,8,95.0,1030.0,0.0,15.0,17.47,83.1,4.0,14.1,14.5
07:08:12.829,8,95.0,1030.0,0.0,15.0,17.47,83.1,4.0,14.1,14.5
07:08:12.919,8,95.0,1030.0,0.0,15.0,17.47,83.1,4.0,14.1,14.5
07:08:13.009,8,95.0,1030.0,0.0,15.0,17.47,83.1,4.0,14.1,14.5
07:08:13.099,8,95.0,990.0,0.0,15.0,17.47,83.1,4.0,14.1,14.5
07:08:13.189,8,95.0,990.0,0.0,15.0,17.47,83.1,4.0,14.1,14.5
07:08:13.279,8,95.0,990.0,0.0,18.0,17.47,83.1,4.0,14.1,14.5
07:08:13.399,8,95.0,990.0,0.0,18.0,16.74,83.1,4.0,14.1,14.5
07:08:13.489,8,95.0,990.0,0.0,18.0,16.74,83.1,4.0,14.1,14.5
07:08:13.579,8,95.0,990.0,0.0,18.0,16.74,83.1,4.0,14.1,14.5
07:08:13.669,8,95.0,990.0,0.0,18.0,16.74,83.1,4.0,14.1,14.5
07:08:13.759,8,95.0,990.0,0.0,18.0,16.74,83.1,4.0,14.1,14.5
07:08:13.849,8,95.0,990.0,0.0,18.0,16.74,83.1,4.0,14.1,14.5
07:08:13.939,8,95.0,990.0,0.0,18.0,16.74,83.1,4.0,14.1,14.5
07:08:14.029,8,95.0,972.0,0.0,18.0,16.74,83.1,4.0,14.1,14.5
07:08:14.119,8,95.0,972.0,0.0,18.0,16.74,83.1,4.0,14.1,14.5
07:08:14.209,8,95.0,972.0,0.0,16.0,16.74,83.1,4.0,14.1,14.5
07:08:14.299,8,95.0,972.0,0.0,16.0,16.41,83.1,4.0,14.1,14.5
07:08:14.389,8,95.0,972.0,0.0,16.0,16.41,83.5,4.0,14.1,14.5
07:08:14.479,8,95.0,972.0,0.0,16.0,16.41,83.5,4.0,14.1,14.5
07:08:14.569,8,95.0,972.0,0.0,16.0,16.41,83.5,4.0,14.1,14.5
07:08:14.659,8,95.0,972.0,0.0,16.0,16.41,83.5,4.0,14.1,14.5
07:08:14.752,8,95.0,972.0,0.0,16.0,16.41,83.5,4.0,14.1,14.5
07:08:14.839,8,95.0,972.0,0.0,16.0,16.41,83.5,4.0,14.1,14.5
07:08:14.929,8,95.0,959.0,0.0,16.0,16.41,83.5,4.0,14.1,14.5
07:08:15.019,8,95.0,959.0,0.0,16.0,16.41,83.5,4.0,14.1,14.5
07:08:15.109,8,95.0,959.0,0.0,15.0,16.41,83.5,4.0,14.1,14.5
07:08:15.199,8,95.0,959.0,0.0,15.0,16.13,83.5,4.0,14.1,14.5
07:08:15.289,8,95.0,959.0,0.0,15.0,16.13,83.1,4.0,14.1,14.5
07:08:15.379,8,95.0,959.0,0.0,15.0,16.13,83.1,4.0,14.1,14.5
07:08:15.469,8,95.0,959.0,0.0,15.0,16.13,83.1,4.0,14.1,14.5
07:08:15.559,8,95.0,959.0,0.0,15.0,16.13,83.1,4.0,14.1,14.5
07:08:15.649,8,95.0,959.0,0.0,15.0,16.13,83.1,4.0,14.1,14.5
07:08:15.739,8,95.0,959.0,0.0,15.0,16.13,83.1,4.0,14.1,14.5
07:08:15.829,8,95.0,968.0,0.0,15.0,16.13,83.1,4.0,14.1,14.5
07:08:15.919,8,95.0,968.0,0.0,15.0,16.13,83.1,4.0,14.1,14.5
07:08:16.009,8,95.0,968.0,0.0,14.0,16.13,83.1,4.0,14.1,14.5
07:08:16.099,8,95.0,968.0,0.0,14.0,16.36,83.1,4.0,14.1,14.5
07:08:16.189,8,95.0,968.0,0.0,14.0,16.36,83.1,4.0,14.1,14.5
07:08:16.279,8,95.0,968.0,0.0,14.0,16.36,83.1,4.0,14.1,14.5
07:08:16.369,8,95.0,968.0,0.0,14.0,16.36,83.1,4.0,14.1,14.5
07:08:16.459,8,95.0,968.0,0.0,14.0,16.36,83.1,4.0,14.1,14.5
07:08:16.549,8,95.0,968.0,0.0,14.0,16.36,83.1,4.0,14.1,14.5
07:08:16.639,8,96.0,968.0,0.0,14.0,16.36,83.1,4.0,14.1,14.5
07:08:16.729,8,96.0,947.0,0.0,14.0,16.36,83.1,4.0,14.1,14.5
07:08:16.819,8,96.0,947.0,0.0,14.0,16.36,83.1,4.0,14.1,14.5
07:08:16.909,8,96.0,947.0,0.0,14.0,16.36,83.1,4.0,14.1,14.5
07:08:16.999,8,96.0,947.0,0.0,14.0,16.08,83.1,4.0,14.1,14.5
07:08:17.133,8,96.0,947.0,0.0,14.0,16.08,83.5,4.0,14.1,14.5
07:08:17.249,8,96.0,947.0,0.0,14.0,16.08,83.5,4.0,14.1,14.5
07:08:17.333,8,96.0,947.0,0.0,14.0,16.08,83.5,4.0,14.1,14.5
07:08:17.419,8,96.0,947.0,0.0,14.0,16.08,83.5,4.0,14.1,14.5
07:08:17.509,8,96.0,947.0,0.0,14.0,16.08,83.5,4.0,14.1,14.5
07:08:17.599,8,96.0,947.0,0.0,14.0,16.08,83.5,4.0,14.1,14.5
07:08:17.689,8,96.0,1001.0,0.0,14.0,16.08,83.5,4.0,14.1,14.5
07:08:17.779,8,96.0,1001.0,0.0,14.0,16.08,83.5,4.0,14.1,14.5
07:08:17.869,8,96.0,1001.0,0.0,13.0,16.08,83.5,4.0,14.1,14.5
07:08:17.959,8,96.0,1001.0,0.0,13.0,16.94,83.5,4.0,14.1,14.5
07:08:18.049,8,96.0,1001.0,0.0,13.0,16.94,83.1,4.0,14.1,14.5
07:08:18.139,8,96.0,1001.0,0.0,13.0,16.94,83.1,4.0,14.1,14.5
07:08:18.229,8,96.0,1001.0,0.0,13.0,16.94,83.1,4.0,14.1,14.5
07:08:18.319,8,96.0,1001.0,0.0,13.0,16.94,83.1,4.0,14.1,14.5
07:08:18.409,8,96.0,1001.0,0.0,13.0,16.94,83.1,4.0,14.1,14.5
07:08:18.499,8,96.0,1001.0,0.0,13.0,16.94,83.1,4.0,14.1,14.5
07:08:18.589,8,96.0,968.0,0.0,13.0,16.94,83.1,4.0,14.1,14.5
07:08:18.679,8,96.0,968.0,0.0,13.0,16.94,83.1,4.0,14.1,14.5
07:08:18.769,8,96.0,968.0,0.0,13.0,16.94,83.1,4.0,14.1,14.5
07:08:18.859,8,96.0,968.0,0.0,13.0,16.88,83.1,4.0,14.1,14.5
07:08:18.949,8,96.0,968.0,0.0,13.0,16.88,83.1,4.0,14.1,14.5
07:08:19.039,8,96.0,968.0,0.0,13.0,16.88,83.1,4.0,14.1,14.5
07:08:19.129,8,96.0,968.0,0.0,13.0,16.88,83.1,4.0,14.1,14.5
07:08:19.219,8,96.0,968.0,0.0,13.0,16.88,83.1,4.0,14.1,14.5
07:08:19.309,8,96.0,968.0,0.0,13.0,16.88,83.1,4.0,14.1,14.5
07:08:19.400,8,97.0,968.0,0.0,13.0,16.88,83.1,4.0,14.1,14.5
07:08:19.489,8,97.0,992.0,0.0,13.0,16.88,83.1,4.0,14.1,14.5
07:08:19.579,8,97.0,992.0,0.0,13.0,16.88,83.1,4.0,14.1,14.5
07:08:19.669,8,97.0,992.0,0.0,13.0,16.88,83.1,4.0,14.1,14.5
07:08:19.759,8,97.0,992.0,0.0,13.0,17.38,83.1,4.0,14.1,14.5
07:08:19.849,8,97.0,992.0,0.0,13.0,17.38,83.5,4.0,14.1,14.5
07:08:19.939,8,97.0,992.0,0.0,13.0,17.38,83.5,4.0,14.1,14.5
07:08:20.029,8,97.0,992.0,0.0,13.0,17.38,83.5,4.0,14.1,14.5
07:08:20.119,8,97.0,992.0,0.0,13.0,17.38,83.5,4.0,14.1,14.5
07:08:20.209,8,97.0,992.0,0.0,13.0,17.38,83.5,4.0,14.1,14.5
07:08:20.299,8,97.0,992.0,0.0,13.0,17.38,83.5,4.0,14.1,14.5
07:08:20.389,8,97.0,999.0,0.0,13.0,17.38,83.5,4.0,14.1,14.5
07:08:20.479,8,97.0,999.0,0.0,13.0,17.38,83.5,4.0,14.1,14.5
07:08:20.569,8,97.0,999.0,0.0,12.0,17.38,83.5,4.0,14.1,14.5
07:08:20.659,8,97.0,999.0,0.0,12.0,17.3,83.5,4.0,14.1,14.5
07:08:20.749,8,97.0,999.0,0.0,12.0,17.3,83.5,4.0,14.1,14.5
07:08:20.839,8,97.0,999.0,0.0,12.0,17.3,83.5,4.0,14.1,14.5
07:08:20.929,8,97.0,999.0,0.0,12.0,17.3,83.5,4.0,14.1,14.5
07:08:21.019,8,97.0,999.0,0.0,12.0,17.3,83.5,4.0,14.1,14.5
07:08:21.109,8,97.0,999.0,0.0,12.0,17.3,83.5,4.0,14.1,14.5
07:08:21.199,8,98.0,999.0,0.0,12.0,17.3,83.5,4.0,14.1,14.5
07:08:21.289,8,98.0,974.0,0.0,12.0,17.3,83.5,4.0,14.1,14.5
07:08:21.379,8,98.0,974.0,0.0,12.0,17.3,83.5,4.0,14.1,14.5
07:08:21.469,8,98.0,974.0,0.0,12.0,17.3,83.5,4.0,14.1,14.5
07:08:21.559,8,98.0,974.0,0.0,12.0,17.16,83.5,4.0,14.1,14.5
07:08:21.649,8,98.0,974.0,0.0,12.0,17.16,83.1,4.0,14.1,14.5
07:08:21.739,8,98.0,974.0,0.0,12.0,17.16,83.1,4.0,14.1,14.5
07:08:21.829,8,98.0,974.0,0.0,12.0,17.16,83.1,4.0,14.1,14.5
07:08:21.919,8,98.0,974.0,0.0,12.0,17.16,83.1,4.0,14.1,14.5
07:08:22.010,8,98.0,974.0,0.0,12.0,17.16,83.1,4.0,14.1,14.5
07:08:22.099,8,98.0,974.0,0.0,12.0,17.16,83.1,4.0,14.1,14.5
07:08:22.189,8,98.0,963.0,0.0,12.0,17.16,83.1,4.0,14.1,14.5
07:08:22.279,8,98.0,963.0,1.0,12.0,17.16,83.1,4.0,14.1,14.5
07:08:22.369,8,98.0,963.0,1.0,12.0,17.16,83.1,4.0,14.1,14.5
07:08:22.459,8,98.0,963.0,1.0,12.0,16.99,83.1,4.0,14.1,14.5
07:08:22.549,8,98.0,963.0,1.0,12.0,16.99,83.5,4.0,14.1,14.5
07:08:22.639,8,98.0,963.0,1.0,12.0,16.99,83.5,4.0,14.1,14.5
07:08:22.729,8,98.0,963.0,1.0,12.0,16.99,83.5,4.0,14.1,14.5
07:08:22.819,8,98.0,963.0,1.0,12.0,16.99,83.5,4.0,14.1,14.5
07:08:22.909,8,98.0,963.0,1.0,12.0,16.99,83.5,4.0,14.1,14.5
07:08:23.000,8,98.0,963.0,1.0,12.0,16.99,83.5,4.0,14.1,14.5
07:08:23.089,8,98.0,958.0,1.0,12.0,16.99,83.5,4.0,14.1,14.5
07:08:23.180,8,98.0,958.0,2.0,12.0,16.99,83.5,4.0,14.1,14.5
07:08:23.269,8,98.0,958.0,2.0,11.0,16.99,83.5,4.0,14.1,14.5
07:08:23.360,8,98.0,958.0,2.0,11.0,17.08,83.5,4.0,14.1,14.5
07:08:23.449,8,98.0,958.0,2.0,11.0,17.08,83.5,4.0,14.1,14.5
07:08:23.539,8,98.0,958.0,2.0,11.0,17.08,83.5,4.0,14.1,14.5
07:08:23.629,8,98.0,958.0,2.0,11.0,17.08,83.5,4.0,14.1,14.5
07:08:23.719,8,98.0,958.0,2.0,11.0,17.08,83.5,4.0,14.1,14.5
07:08:23.809,8,98.0,958.0,2.0,11.0,17.08,83.5,4.0,14.1,14.5
07:08:23.899,8,99.0,958.0,2.0,11.0,17.08,83.5,4.0,14.1,14.5
07:08:23.989,8,99.0,1013.0,2.0,11.0,17.08,83.5,4.0,14.1,14.5
07:08:24.079,8,99.0,1013.0,2.0,11.0,17.08,83.5,4.0,14.1,14.5
07:08:24.170,8,99.0,1013.0,2.0,11.0,17.08,83.5,4.0,14.1,14.5
