Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
19:44:02.695,74,,,,,,,,,
19:44:02.785,74,98.0,,,,,,,,
19:44:02.875,74,98.0,772.0,,,,,,,
19:44:02.966,74,98.0,772.0,0.0,,,,,,
19:44:03.056,74,98.0,772.0,0.0,30.0,,,,,
19:44:03.146,74,98.0,772.0,0.0,30.0,6.47,,,,
19:44:03.237,74,98.0,772.0,0.0,30.0,6.47,83.1,,,
19:44:03.326,74,98.0,772.0,0.0,30.0,6.47,83.1,1.0,,
19:44:03.416,74,98.0,772.0,0.0,30.0,6.47,83.1,1.0,14.1,
19:44:03.506,74,98.0,772.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
19:44:03.596,73,98.0,772.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
19:44:03.685,73,98.0,772.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
19:44:03.775,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
19:44:03.864,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
19:44:03.955,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
19:44:04.045,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
19:44:04.135,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
19:44:04.225,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
19:44:04.315,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
19:44:04.406,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
19:44:04.496,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
19:44:04.585,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
19:44:04.675,73,98.0,772.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
19:44:04.765,73,98.0,772.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
19:44:04.856,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
19:44:04.946,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
19:44:05.036,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
19:44:05.126,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
19:44:05.217,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
19:44:05.306,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
19:44:05.396,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
19:44:05.486,73,98.0,772.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
19:44:05.576,73,98.0,771.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
19:44:05.667,73,98.0,771.0,0.0,29.0,6.33,83.1,1.0,14.1,14.5
19:44:05.756,73,98.0,771.0,0.0,30.0,6.33,83.1,1.0,14.1,14.5
19:44:05.845,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
19:44:05.935,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
19:44:06.026,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.1,14.5
19:44:06.116,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
19:44:06.205,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
19:44:06.295,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
19:44:06.385,73,98.0,771.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
19:44:06.475,73,98.0,953.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
19:44:06.568,73,98.0,953.0,0.0,30.0,6.47,83.1,1.0,14.5,14.5
19:44:06.655,73,98.0,953.0,0.0,29.0,6.47,83.1,1.0,14.5,14.5
19:44:06.746,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.5,14.5
19:44:06.837,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.5,14.5
19:44:06.926,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.5,14.5
19:44:07.020,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
19:44:07.135,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
19:44:07.225,73,98.0,953.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
19:44:07.315,73,100.0,953.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
19:44:07.406,73,100.0,942.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
19:44:07.496,73,100.0,942.0,0.0,29.0,8.13,83.1,1.0,14.9,14.5
19:44:07.586,73,100.0,942.0,0.0,31.0,8.13,83.1,1.0,14.9,14.5
19:44:07.676,73,100.0,942.0,0.0,31.0,7.74,83.1,1.0,14.9,14.5
19:44:07.765,73,100.0,942.0,0.0,31.0,7.74,83.1,1.0,14.9,14.5
19:44:07.856,73,100.0,942.0,0.0,31.0,7.74,83.1,1.0,14.9,14.5
19:44:07.945,73,100.0,942.0,0.0,31.0,7.74,83.1,1.0,14.1,14.5
19:44:08.035,73,100.0,942.0,0.0,31.0,7.74,83.1,1.0,14.1,14.5
19:44:08.125,73,100.0,942.0,0.0,31.0,7.74,83.1,1.0,14.1,14.5
19:44:08.215,73,100.0,942.0,0.0,31.0,7.74,83.1,1.0,14.1,14.5
19:44:08.305,73,100.0,973.0,0.0,31.0,7.74,83.1,1.0,14.1,14.5
19:44:08.426,73,100.0,973.0,1.0,31.0,7.74,83.1,1.0,14.1,14.5
19:44:08.516,73,100.0,973.0,1.0,30.0,7.74,83.1,1.0,14.1,14.5
19:44:08.605,73,100.0,973.0,1.0,30.0,7.94,83.1,1.0,14.1,14.5
19:44:08.696,73,100.0,973.0,1.0,30.0,7.94,83.1,1.0,14.1,14.5
19:44:08.785,73,100.0,973.0,1.0,30.0,7.94,83.1,1.0,14.1,14.5
19:44:08.875,73,100.0,973.0,1.0,30.0,7.94,83.1,1.0,14.9,14.5
19:44:08.965,73,100.0,973.0,1.0,30.0,7.94,83.1,1.0,14.9,14.5
19:44:09.056,73,100.0,973.0,1.0,30.0,7.94,83.1,1.0,14.9,14.5
19:44:09.146,73,100.0,973.0,1.0,30.0,7.94,83.1,1.0,14.9,14.5
19:44:09.235,73,100.0,956.0,1.0,30.0,7.94,83.1,1.0,14.9,14.5
19:44:09.326,73,100.0,956.0,1.0,30.0,7.94,83.1,1.0,14.9,14.5
19:44:09.419,73,100.0,956.0,1.0,30.0,7.94,83.1,1.0,14.9,14.5
19:44:09.505,73,100.0,956.0,1.0,30.0,7.97,83.1,1.0,14.9,14.5
19:44:09.654,73,100.0,956.0,1.0,30.0,7.97,83.1,1.0,14.9,14.5
19:44:09.748,73,100.0,956.0,1.0,30.0,7.97,83.1,1.0,14.9,14.5
19:44:09.835,73,100.0,956.0,1.0,30.0,7.97,83.1,1.0,14.9,14.5
19:44:09.924,73,100.0,956.0,1.0,30.0,7.97,83.1,1.0,14.9,14.5
19:44:10.015,73,100.0,956.0,1.0,30.0,7.97,83.1,1.0,14.9,14.5
19:44:10.105,73,100.0,956.0,1.0,30.0,7.97,83.1,1.0,14.9,14.5
19:44:10.195,73,100.0,935.0,1.0,30.0,7.97,83.1,1.0,14.9,14.5
19:44:10.286,73,100.0,935.0,2.0,30.0,7.97,83.1,1.0,14.9,14.5
19:44:10.376,73,100.0,935.0,2.0,30.0,7.97,83.1,1.0,14.9,14.5
19:44:10.470,73,100.0,935.0,2.0,30.0,7.94,83.1,1.0,14.9,14.5
19:44:10.555,73,100.0,935.0,2.0,30.0,7.94,83.1,1.0,14.9,14.5
19:44:10.645,73,100.0,935.0,2.0,30.0,7.94,83.1,1.0,14.9,14.5
19:44:10.735,73,100.0,935.0,2.0,30.0,7.94,83.1,1.0,14.1,14.5
19:44:10.826,73,100.0,935.0,2.0,30.0,7.94,83.1,1.0,14.1,14.5
19:44:10.916,73,100.0,935.0,2.0,30.0,7.94,83.1,1.0,14.1,14.5
19:44:11.005,73,100.0,935.0,2.0,30.0,7.94,83.1,1.0,14.1,14.5
19:44:11.096,73,100.0,968.0,2.0,30.0,7.94,83.1,1.0,14.1,14.5
19:44:11.185,73,100.0,968.0,1.0,30.0,7.94,83.1,1.0,14.1,14.5
19:44:11.276,73,100.0,968.0,1.0,29.0,7.94,83.1,1.0,14.1,14.5
19:44:11.365,73,100.0,968.0,1.0,29.0,8.19,83.1,1.0,14.1,14.5
19:44:11.454,73,100.0,968.0,1.0,29.0,8.19,83.1,1.0,14.1,14.5
19:44:11.574,73,100.0,968.0,1.0,29.0,8.19,83.1,1.0,14.1,14.5
19:44:11.665,73,100.0,968.0,1.0,29.0,8.19,83.1,1.0,15.7,14.5
19:44:11.755,73,100.0,968.0,1.0,29.0,8.19,83.1,1.0,15.7,15.3
19:44:11.845,73,100.0,968.0,1.0,29.0,8.19,83.1,1.0,15.7,15.3
19:44:11.935,73,101.0,968.0,1.0,29.0,8.19,83.1,1.0,15.7,15.3
19:44:12.025,73,101.0,902.0,1.0,29.0,8.19,83.1,1.0,15.7,15.3
19:44:12.115,73,101.0,902.0,1.0,29.0,8.19,83.1,1.0,15.7,15.3
19:44:12.206,73,101.0,902.0,1.0,29.0,8.19,83.1,1.0,15.7,15.3
19:44:12.295,73,101.0,902.0,1.0,29.0,8.05,83.1,1.0,15.7,15.3
19:44:12.385,73,101.0,902.0,1.0,29.0,8.05,83.1,1.0,15.7,15.3
19:44:12.476,73,101.0,902.0,1.0,29.0,8.05,83.1,1.0,15.7,15.3
19:44:12.566,73,101.0,902.0,1.0,29.0,8.05,83.1,1.0,15.3,15.3
19:44:12.655,73,101.0,902.0,1.0,29.0,8.05,83.1,1.0,15.3,14.9
19:44:12.746,73,101.0,902.0,1.0,29.0,8.05,83.1,1.0,15.3,14.9
19:44:12.835,73,101.0,902.0,1.0,29.0,8.05,83.1,1.0,15.3,14.9
19:44:12.926,73,101.0,940.0,1.0,29.0,8.05,83.1,1.0,15.3,14.9
19:44:13.015,73,101.0,940.0,2.0,29.0,8.05,83.1,1.0,15.3,14.9
19:44:13.105,73,101.0,940.0,2.0,29.0,8.05,83.1,1.0,15.3,14.9
19:44:13.195,73,101.0,940.0,2.0,29.0,8.24,83.1,1.0,15.3,14.9
19:44:13.285,73,101.0,940.0,2.0,29.0,8.24,83.1,1.0,15.3,14.9
19:44:13.376,73,101.0,940.0,2.0,29.0,8.24,83.1,1.0,15.3,14.9
19:44:13.466,73,101.0,940.0,2.0,29.0,8.24,83.1,1.0,15.3,14.9
19:44:13.555,73,101.0,940.0,2.0,29.0,8.24,83.1,1.0,15.3,14.9
19:44:13.645,73,101.0,940.0,2.0,29.0,8.24,83.1,1.0,15.3,14.9
19:44:13.736,73,101.0,940.0,2.0,29.0,8.24,83.1,1.0,15.3,14.9
19:44:13.825,73,101.0,1001.0,2.0,29.0,8.24,83.1,1.0,15.3,14.9
19:44:13.915,73,101.0,1001.0,2.0,29.0,8.24,83.1,1.0,15.3,14.9
19:44:14.005,73,101.0,1001.0,2.0,29.0,8.24,83.1,1.0,15.3,14.9
19:44:14.095,73,101.0,1001.0,2.0,29.0,8.36,83.1,1.0,15.3,14.9
19:44:14.186,73,101.0,1001.0,2.0,29.0,8.36,83.1,1.0,15.3,14.9
19:44:14.275,73,101.0,1001.0,2.0,29.0,8.36,83.1,1.0,15.3,14.9
19:44:14.366,73,101.0,1001.0,2.0,29.0,8.36,83.1,1.0,14.1,14.9
19:44:14.456,73,101.0,1001.0,2.0,29.0,8.36,83.1,1.0,14.1,14.5
19:44:14.546,73,101.0,1001.0,2.0,29.0,8.36,83.1,1.0,14.1,14.5
19:44:14.635,73,101.0,1001.0,2.0,29.0,8.36,83.1,1.0,14.1,14.5
19:44:14.725,73,101.0,965.0,2.0,29.0,8.36,83.1,1.0,14.1,14.5
19:44:14.815,73,101.0,965.0,2.0,29.0,8.36,83.1,1.0,14.1,14.5
19:44:14.905,73,101.0,965.0,2.0,29.0,8.36,83.1,1.0,14.1,14.5
