Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
18:20:49.431,16,,,,,,,,,
18:20:49.584,16,99.0,,,,,,,,
18:20:49.671,16,99.0,0.0,,,,,,,
18:20:49.760,16,99.0,0.0,0.0,,,,,,
18:20:49.850,16,99.0,0.0,0.0,9.0,,,,,
18:20:49.940,16,99.0,0.0,0.0,9.0,0.88,,,,
18:20:50.030,16,99.0,0.0,0.0,9.0,0.88,89.0,,,
18:20:50.120,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,,
18:20:50.210,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,
18:20:50.300,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:50.390,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:50.480,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:50.570,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:50.660,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:50.750,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:50.840,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:50.930,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:51.020,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:51.140,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:51.230,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:51.320,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:51.410,16,100.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:51.500,16,100.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:51.590,16,100.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:51.680,16,100.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:51.770,16,100.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:51.860,16,100.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:51.950,16,100.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:52.040,16,100.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:52.130,16,100.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:52.220,16,100.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:52.310,16,99.0,0.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:52.399,16,99.0,189.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:52.490,16,99.0,189.0,0.0,9.0,0.88,89.0,9.0,14.1,14.5
18:20:52.580,16,99.0,189.0,0.0,10.0,0.88,89.0,9.0,14.1,14.5
18:20:52.670,16,99.0,189.0,0.0,10.0,15.08,89.0,9.0,14.1,14.5
18:20:52.760,16,99.0,189.0,0.0,10.0,15.08,82.7,9.0,14.1,14.5
18:20:52.850,16,99.0,189.0,0.0,10.0,15.08,82.7,9.0,14.1,14.5
18:20:52.940,16,99.0,189.0,0.0,10.0,15.08,82.7,9.0,14.1,14.5
18:20:53.060,16,99.0,189.0,0.0,10.0,15.08,82.7,9.0,14.1,14.5
18:20:53.150,16,99.0,189.0,0.0,10.0,15.08,82.7,9.0,14.1,14.5
18:20:53.240,16,98.0,189.0,0.0,10.0,15.08,82.7,9.0,14.1,14.5
18:20:53.330,16,98.0,1019.0,0.0,10.0,15.08,82.7,9.0,14.1,14.5
18:20:53.420,16,98.0,1019.0,0.0,10.0,15.08,82.7,9.0,14.1,14.5
18:20:53.510,16,98.0,1019.0,0.0,22.0,15.08,82.7,9.0,14.1,14.5
18:20:53.600,16,98.0,1019.0,0.0,22.0,17.22,82.7,9.0,14.1,14.5
18:20:53.690,16,98.0,1019.0,0.0,22.0,17.22,83.1,9.0,14.1,14.5
18:20:53.780,16,98.0,1019.0,0.0,22.0,17.22,83.1,9.0,14.1,14.5
18:20:53.870,16,98.0,1019.0,0.0,22.0,17.22,83.1,9.0,14.1,14.5
18:20:53.960,16,98.0,1019.0,0.0,22.0,17.22,83.1,9.0,14.1,14.5
18:20:54.050,16,98.0,1019.0,0.0,22.0,17.22,83.1,9.0,14.1,14.5
18:20:54.140,16,98.0,1019.0,0.0,22.0,17.22,83.1,9.0,14.1,14.5
18:20:54.230,16,98.0,946.0,0.0,22.0,17.22,83.1,9.0,14.1,14.5
18:20:54.320,16,98.0,946.0,0.0,22.0,17.22,83.1,9.0,14.1,14.5
18:20:54.410,16,98.0,946.0,0.0,26.0,17.22,83.1,9.0,14.1,14.5
18:20:54.500,16,98.0,946.0,0.0,26.0,16.3,83.1,9.0,14.1,14.5
18:20:54.590,16,98.0,946.0,0.0,26.0,16.3,83.5,9.0,14.1,14.5
18:20:54.680,16,98.0,946.0,0.0,26.0,16.3,83.5,9.0,14.1,14.5
18:20:54.770,16,98.0,946.0,0.0,26.0,16.3,83.5,9.0,14.1,14.5
18:20:54.860,16,98.0,946.0,0.0,26.0,16.3,83.5,9.0,14.1,14.5
