Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
17:58:02.288,89,,,,,,,,,
17:58:02.379,89,98.0,,,,,,,,
17:58:02.469,89,98.0,770.0,,,,,,,
17:58:02.529,89,98.0,770.0,0.0,,,,,,
17:58:02.619,89,98.0,770.0,0.0,-13.0,,,,,
17:58:02.679,89,98.0,770.0,0.0,-13.0,6.77,,,,
17:58:02.768,89,98.0,770.0,0.0,-13.0,6.77,83.1,,,
17:58:02.857,89,98.0,770.0,0.0,-13.0,6.77,83.1,-1.0,,
17:58:02.918,89,98.0,770.0,0.0,-13.0,6.77,83.1,-1.0,14.1,
17:58:02.978,89,98.0,770.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
17:58:03.067,89,98.0,770.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
17:58:03.128,89,98.0,770.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
17:58:03.217,89,98.0,769.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
17:58:03.278,89,98.0,769.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
17:58:03.367,89,98.0,769.0,0.0,-13.0,6.77,83.1,-1.0,14.1,14.5
17:58:03.428,89,98.0,769.0,0.0,-13.0,6.61,83.1,-1.0,14.1,14.5
17:58:03.517,89,98.0,769.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
17:58:03.607,89,98.0,769.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
17:58:03.697,89,98.0,769.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
17:58:03.786,89,98.0,769.0,0.0,-13.0,6.61,83.5,-1.0,14.1,14.5
