Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
16:54:58.117,11,,,,,,,,,
16:54:58.207,11,102.0,,,,,,,,
16:54:58.297,11,102.0,1041.0,,,,,,,
16:54:58.387,11,102.0,1041.0,0.0,,,,,,
16:54:58.448,11,102.0,1041.0,0.0,10.0,,,,,
16:54:58.537,11,102.0,1041.0,0.0,10.0,19.13,,,,
16:54:58.598,11,102.0,1041.0,0.0,10.0,19.13,83.1,,,
16:54:58.688,11,102.0,1041.0,0.0,10.0,19.13,83.1,2.0,,
16:54:58.779,11,102.0,1041.0,0.0,10.0,19.13,83.1,2.0,14.1,
16:54:58.867,11,102.0,1041.0,0.0,10.0,19.13,83.1,2.0,14.1,14.5
16:54:58.957,11,102.0,1041.0,0.0,10.0,19.13,83.1,2.0,14.1,14.5
16:54:59.047,11,102.0,1041.0,0.0,10.0,19.13,83.1,2.0,14.1,14.5
16:54:59.137,11,102.0,1042.0,0.0,10.0,19.13,83.1,2.0,14.1,14.5
16:54:59.198,11,102.0,1042.0,0.0,10.0,19.13,83.1,2.0,14.1,14.5
16:54:59.287,11,102.0,1042.0,0.0,9.0,19.13,83.1,2.0,14.1,14.5
16:54:59.348,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.5
16:54:59.437,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.5
16:54:59.498,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.5
16:54:59.587,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.5
16:54:59.648,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
16:54:59.737,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
16:54:59.798,11,102.0,1042.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
16:54:59.887,11,102.0,1026.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
16:54:59.977,11,102.0,1026.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
16:55:00.067,11,102.0,1026.0,0.0,9.0,19.08,83.1,2.0,14.1,14.1
16:55:00.159,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.1
16:55:00.247,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.1
16:55:00.337,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.1
16:55:00.398,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.1
16:55:00.487,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
16:55:00.548,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
16:55:00.637,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
16:55:00.698,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
16:55:00.817,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
16:55:00.909,11,102.0,1026.0,0.0,9.0,18.41,83.1,2.0,14.1,14.5
16:55:00.997,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.1,14.5
16:55:01.087,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.1,14.5
16:55:01.177,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.1,14.5
16:55:01.238,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
16:55:01.298,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
16:55:01.387,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
16:55:01.448,11,102.0,1026.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
16:55:01.537,11,102.0,1032.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
16:55:01.598,11,102.0,1032.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
16:55:01.687,11,102.0,1032.0,0.0,9.0,18.52,83.1,2.0,14.5,14.5
16:55:01.748,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
16:55:01.837,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
16:55:01.897,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
16:55:01.987,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
16:55:02.048,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
16:55:02.167,11,102.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
16:55:02.257,11,103.0,1032.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
16:55:02.347,11,103.0,1011.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
16:55:02.438,11,103.0,1011.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
16:55:02.497,11,103.0,1011.0,0.0,9.0,18.83,83.1,2.0,14.5,14.5
16:55:02.588,11,103.0,1011.0,0.0,9.0,17.99,83.1,2.0,14.5,14.5
16:55:02.648,11,103.0,1011.0,0.0,9.0,17.99,83.1,2.0,14.5,14.5
16:55:02.767,11,103.0,1011.0,0.0,9.0,17.99,83.1,2.0,14.5,14.5
16:55:02.857,11,103.0,1011.0,0.0,9.0,17.99,83.1,2.0,15.3,14.5
16:55:02.947,11,103.0,1011.0,0.0,9.0,17.99,83.1,2.0,15.3,14.9
16:55:03.037,11,103.0,1011.0,0.0,9.0,17.99,83.1,2.0,15.3,14.9
16:55:03.098,11,103.0,1011.0,0.0,9.0,17.99,83.1,2.0,15.3,14.9
16:55:03.187,11,103.0,1005.0,0.0,9.0,17.99,83.1,2.0,15.3,14.9
16:55:03.248,11,103.0,1005.0,0.0,9.0,17.99,83.1,2.0,15.3,14.9
16:55:03.337,11,103.0,1005.0,0.0,9.0,17.99,83.1,2.0,15.3,14.9
16:55:03.398,11,103.0,1005.0,0.0,9.0,18.22,83.1,2.0,15.3,14.9
16:55:03.487,11,103.0,1005.0,0.0,9.0,18.22,83.1,2.0,15.3,14.9
16:55:03.548,11,103.0,1005.0,0.0,9.0,18.22,83.1,2.0,15.3,14.9
16:55:03.637,11,103.0,1005.0,0.0,9.0,18.22,83.1,2.0,15.3,14.9
16:55:03.698,11,103.0,1005.0,0.0,9.0,18.22,83.1,2.0,15.3,15.3
16:55:03.817,11,103.0,1005.0,0.0,9.0,18.22,83.1,2.0,15.3,15.3
16:55:03.907,11,103.0,1005.0,0.0,9.0,18.22,83.1,2.0,15.3,15.3
16:55:03.997,11,103.0,1021.0,0.0,9.0,18.22,83.1,2.0,15.3,15.3
16:55:04.087,11,103.0,1021.0,0.0,9.0,18.22,83.1,2.0,15.3,15.3
16:55:04.148,11,103.0,1021.0,0.0,9.0,18.22,83.1,2.0,15.3,15.3
16:55:04.237,11,103.0,1021.0,0.0,9.0,18.55,83.1,2.0,15.3,15.3
16:55:04.327,11,103.0,1021.0,0.0,9.0,18.55,83.1,2.0,15.3,15.3
16:55:04.388,11,103.0,1021.0,0.0,9.0,18.55,83.1,2.0,15.3,15.3
16:55:04.448,11,103.0,1021.0,0.0,9.0,18.55,83.1,2.0,15.7,15.3
16:55:04.537,11,103.0,1021.0,0.0,9.0,18.55,83.1,2.0,15.7,15.3
16:55:04.598,11,103.0,1021.0,0.0,9.0,18.55,83.1,2.0,15.7,15.3
16:55:04.687,11,104.0,1021.0,0.0,9.0,18.55,83.1,2.0,15.7,15.3
16:55:04.747,11,104.0,1032.0,0.0,9.0,18.55,83.1,2.0,15.7,15.3
16:55:04.836,11,104.0,1032.0,1.0,9.0,18.55,83.1,2.0,15.7,15.3
16:55:04.898,11,104.0,1032.0,1.0,8.0,18.55,83.1,2.0,15.7,15.3
16:55:05.016,11,104.0,1032.0,1.0,8.0,18.86,83.1,2.0,15.7,15.3
16:55:05.106,11,104.0,1032.0,1.0,8.0,18.86,83.1,2.0,15.7,15.3
16:55:05.197,11,104.0,1032.0,1.0,8.0,18.86,83.1,2.0,15.7,15.3
16:55:05.287,11,104.0,1032.0,1.0,8.0,18.86,83.1,2.0,15.7,15.3
16:55:05.348,11,104.0,1032.0,1.0,8.0,18.86,83.1,2.0,15.7,15.3
16:55:05.436,11,104.0,1032.0,1.0,8.0,18.86,83.1,2.0,15.7,15.3
16:55:05.497,11,104.0,1032.0,1.0,8.0,18.86,83.1,2.0,15.7,15.3
16:55:05.587,11,104.0,1071.0,1.0,8.0,18.86,83.1,2.0,15.7,15.3
16:55:05.647,11,104.0,1071.0,1.0,8.0,18.86,83.1,2.0,15.7,15.3
16:55:05.737,11,104.0,1071.0,1.0,8.0,18.86,83.1,2.0,15.7,15.3
16:55:05.798,11,104.0,1071.0,1.0,8.0,20.02,83.1,2.0,15.7,15.3
16:55:05.887,11,104.0,1071.0,1.0,8.0,20.02,83.1,2.0,15.7,15.3
16:55:05.948,11,104.0,1071.0,1.0,8.0,20.02,83.1,2.0,15.7,15.3
16:55:06.037,11,104.0,1071.0,1.0,8.0,20.02,83.1,2.0,14.1,15.3
16:55:06.097,11,104.0,1071.0,1.0,8.0,20.02,83.1,2.0,14.1,14.5
16:55:06.187,11,104.0,1071.0,1.0,8.0,20.02,83.1,2.0,14.1,14.5
16:55:06.247,11,105.0,1071.0,1.0,8.0,20.02,83.1,2.0,14.1,14.5
16:55:06.337,11,105.0,1061.0,1.0,8.0,20.02,83.1,2.0,14.1,14.5
16:55:06.397,11,105.0,1061.0,1.0,8.0,20.02,83.1,2.0,14.1,14.5
16:55:06.487,11,105.0,1061.0,1.0,9.0,20.02,83.1,2.0,14.1,14.5
16:55:06.548,11,105.0,1061.0,1.0,9.0,19.66,83.1,2.0,14.1,14.5
16:55:06.637,11,105.0,1061.0,1.0,9.0,19.66,83.1,2.0,14.1,14.5
16:55:06.698,11,105.0,1061.0,1.0,9.0,19.66,83.1,2.0,14.1,14.5
16:55:06.787,11,105.0,1061.0,1.0,9.0,19.66,83.1,2.0,14.5,14.5
16:55:06.849,11,105.0,1061.0,1.0,9.0,19.66,83.1,2.0,14.5,14.5
16:55:06.937,11,105.0,1061.0,1.0,9.0,19.66,83.1,2.0,14.5,14.5
16:55:06.998,11,105.0,1061.0,1.0,9.0,19.66,83.1,2.0,14.5,14.5
16:55:07.086,11,105.0,1047.0,1.0,9.0,19.66,83.1,2.0,14.5,14.5
