Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
07:15:55.513,,,,0,,,,,,
07:15:55.572,,,,0,-8.0,,,,,
07:15:55.664,,,,0,-8.0,0.86,,,,
07:15:55.809,,,,0,-8.0,0.86,88.6,,,
07:15:55.930,,,,0,-8.0,0.86,88.6,-9.0,,
07:15:56.019,,,,0,-8.0,0.86,88.6,-9.0,14.1,
07:15:56.109,,,,0,-8.0,0.86,88.6,-9.0,14.1,14.5
07:15:56.199,69.0,,,0,-8.0,0.86,88.6,-9.0,14.1,14.5
07:15:56.319,69.0,98.0,,0,-8.0,0.86,88.6,-9.0,14.1,14.5
07:15:56.439,69.0,98.0,0.0,0,-8.0,0.86,88.6,-9.0,14.1,14.5
07:15:56.529,69.0,98.0,0.0,0,-8.0,0.86,88.6,-9.0,14.1,14.5
07:15:56.620,69.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:56.709,69.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:56.799,69.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:56.889,69.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:56.979,69.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:57.069,69.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:57.159,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:57.249,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:57.340,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:57.429,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:57.525,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:57.609,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:57.699,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:57.789,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:57.908,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:57.999,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:58.089,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:58.179,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:58.269,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:58.359,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:58.449,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:58.539,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:58.629,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:58.719,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:58.838,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:58.929,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:59.019,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:59.109,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:59.199,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:59.289,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:59.378,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:59.471,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:59.558,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:59.648,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:59.739,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:59.829,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:15:59.919,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:16:00.009,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:16:00.101,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
07:16:00.188,68.0,98.0,0.0,0,-7.0,0.86,88.6,-9.0,14.1,14.5
