Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
06:54:43.501,4,,,,,,,,,
06:54:43.591,4,97.0,,,,,,,,
06:54:43.682,4,97.0,0.0,,,,,,,
06:54:43.772,4,97.0,0.0,0.0,,,,,,
06:54:43.861,4,97.0,0.0,0.0,-3.0,,,,,
06:54:43.951,4,97.0,0.0,0.0,-3.0,0.86,,,,
06:54:44.041,4,97.0,0.0,0.0,-3.0,0.86,89.0,,,
06:54:44.131,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,,
06:54:44.221,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,
06:54:44.310,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
06:54:44.401,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
06:54:44.491,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
06:54:44.580,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
06:54:44.671,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
06:54:44.761,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
06:54:44.823,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
06:54:44.911,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
06:54:45.031,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.5,14.5
06:54:45.121,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
06:54:45.211,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
06:54:45.303,4,97.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
06:54:45.391,4,106.0,0.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
06:54:45.481,4,106.0,272.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
06:54:45.571,4,106.0,272.0,0.0,-3.0,0.86,89.0,1.0,14.1,14.5
06:54:45.661,4,106.0,272.0,0.0,0.0,0.86,89.0,1.0,14.1,14.5
06:54:45.751,4,106.0,272.0,0.0,0.0,19.08,89.0,1.0,14.1,14.5
06:54:45.841,4,106.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
06:54:45.931,4,106.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
06:54:46.021,4,106.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
06:54:46.111,4,106.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
06:54:46.201,4,106.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
06:54:46.292,4,94.0,272.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
06:54:46.382,4,94.0,1040.0,0.0,0.0,19.08,83.1,1.0,14.1,14.5
