Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
08:28:03.703,3,,,,,,,,,
08:28:03.793,3,98.0,,,,,,,,
08:28:03.883,3,98.0,0.0,,,,,,,
08:28:03.973,3,98.0,0.0,0.0,,,,,,
08:28:04.063,3,98.0,0.0,0.0,-4.0,,,,,
08:28:04.154,3,98.0,0.0,0.0,-4.0,0.86,,,,
08:28:04.243,3,98.0,0.0,0.0,-4.0,0.86,89.0,,,
08:28:04.333,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,,
08:28:04.423,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,
08:28:04.513,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:04.603,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:04.693,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:04.783,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:04.874,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:04.963,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:05.053,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:05.143,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:05.233,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:05.323,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:05.413,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:05.503,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:05.594,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:05.683,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:05.773,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:05.863,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:05.954,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:06.043,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:06.134,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:06.224,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:06.314,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:06.403,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:06.493,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:06.584,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:06.673,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:06.763,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:06.854,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:06.943,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:07.063,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:07.153,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:07.244,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:07.333,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
08:28:07.423,3,98.0,0.0,0.0,-4.0,0.86,89.0,-3.0,14.1,14.5
