Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
19:09:16.202,17,,,,,,,,,
19:09:16.292,17,101.0,,,,,,,,
19:09:16.354,17,101.0,0.0,,,,,,,
19:09:16.443,17,101.0,0.0,0.0,,,,,,
19:09:16.533,17,101.0,0.0,0.0,11.0,,,,,
19:09:16.623,17,101.0,0.0,0.0,11.0,0.88,,,,
19:09:16.713,17,101.0,0.0,0.0,11.0,0.88,89.0,,,
19:09:16.802,17,101.0,0.0,0.0,11.0,0.88,89.0,9.0,,
19:09:16.893,17,101.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,
19:09:16.983,17,101.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:17.073,17,101.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:17.163,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:17.253,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:17.343,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:17.404,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:17.493,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:17.554,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:17.643,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:17.733,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:17.823,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:17.944,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.004,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.105,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.183,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.273,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.363,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.453,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.544,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.604,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.693,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.754,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.843,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:18.933,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:19.053,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:19.143,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:19.233,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:19.323,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:19.413,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:19.503,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:19.593,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:19.683,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:19.744,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:19.862,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:19.983,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.044,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.133,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.223,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.314,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.403,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.493,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.554,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.643,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.733,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.794,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.883,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
19:09:20.973,17,100.0,0.0,0.0,11.0,0.88,89.0,9.0,14.1,14.5
