Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
07:14:48.744,34,,,,,,,,,
07:14:48.835,34,104.0,,,,,,,,
07:14:48.924,34,104.0,1039.0,,,,,,,
07:14:49.014,34,104.0,1039.0,0.0,,,,,,
07:14:49.104,34,104.0,1039.0,0.0,7.0,,,,,
07:14:49.194,34,104.0,1039.0,0.0,7.0,18.05,,,,
07:14:49.284,34,104.0,1039.0,0.0,7.0,18.05,83.5,,,
07:14:49.374,34,104.0,1039.0,0.0,7.0,18.05,83.5,-3.0,,
07:14:49.464,34,104.0,1039.0,0.0,7.0,18.05,83.5,-3.0,14.1,
07:14:49.554,34,104.0,1039.0,0.0,7.0,18.05,83.5,-3.0,14.1,14.5
07:14:49.644,34,104.0,1039.0,0.0,7.0,18.05,83.5,-3.0,14.1,14.5
07:14:49.735,34,104.0,1039.0,0.0,7.0,18.05,83.5,-3.0,14.1,14.5
07:14:49.824,34,104.0,1040.0,0.0,7.0,18.05,83.5,-3.0,14.1,14.5
07:14:49.914,34,104.0,1040.0,0.0,7.0,18.05,83.5,-3.0,14.1,14.5
07:14:50.004,34,104.0,1040.0,0.0,7.0,18.05,83.5,-3.0,14.1,14.5
07:14:50.094,34,104.0,1040.0,0.0,7.0,18.19,83.5,-3.0,14.1,14.5
07:14:50.184,34,104.0,1040.0,0.0,7.0,18.19,83.5,-3.0,14.1,14.5
07:14:50.274,34,104.0,1040.0,0.0,7.0,18.19,83.5,-3.0,14.1,14.5
07:14:50.365,34,104.0,1040.0,0.0,7.0,18.19,83.5,-3.0,14.1,14.5
07:14:50.454,34,104.0,1040.0,0.0,7.0,18.19,83.5,-3.0,14.1,14.5
07:14:50.544,34,104.0,1040.0,0.0,7.0,18.19,83.5,-3.0,14.1,14.5
07:14:50.634,34,104.0,1040.0,0.0,7.0,18.19,83.5,-3.0,14.1,14.5
