Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
18:42:11.314,12,,,,,,,,,
18:42:11.405,12,102.0,,,,,,,,
18:42:11.494,12,102.0,1034.0,,,,,,,
18:42:11.584,12,102.0,1034.0,0.0,,,,,,
18:42:11.674,12,102.0,1034.0,0.0,12.0,,,,,
18:42:11.765,12,102.0,1034.0,0.0,12.0,18.69,,,,
18:42:11.855,12,102.0,1034.0,0.0,12.0,18.69,83.1,,,
18:42:11.944,12,102.0,1034.0,0.0,12.0,18.69,83.1,3.0,,
18:42:12.035,12,102.0,1034.0,0.0,12.0,18.69,83.1,3.0,14.1,
18:42:12.124,12,102.0,1034.0,0.0,12.0,18.69,83.1,3.0,14.1,14.5
18:42:12.215,12,102.0,1034.0,0.0,12.0,18.69,83.1,3.0,14.1,14.5
18:42:12.275,12,103.0,1034.0,0.0,12.0,18.69,83.1,3.0,14.1,14.5
18:42:12.365,12,103.0,1039.0,0.0,12.0,18.69,83.1,3.0,14.1,14.5
18:42:12.455,12,103.0,1039.0,0.0,12.0,18.69,83.1,3.0,14.1,14.5
18:42:12.515,12,103.0,1039.0,0.0,12.0,18.69,83.1,3.0,14.1,14.5
18:42:12.575,12,103.0,1039.0,0.0,12.0,18.55,83.1,3.0,14.1,14.5
18:42:12.665,12,103.0,1039.0,0.0,12.0,18.55,83.1,3.0,14.1,14.5
18:42:12.755,12,103.0,1039.0,0.0,12.0,18.55,83.1,3.0,14.1,14.5
18:42:12.815,12,103.0,1039.0,0.0,12.0,18.55,83.1,3.0,14.5,14.5
18:42:12.875,12,103.0,1039.0,0.0,12.0,18.55,83.1,3.0,14.5,14.5
18:42:12.964,12,103.0,1039.0,0.0,12.0,18.55,83.1,3.0,14.5,14.5
18:42:13.055,12,103.0,1039.0,0.0,12.0,18.55,83.1,3.0,14.5,14.5
18:42:13.174,12,103.0,1023.0,0.0,12.0,18.55,83.1,3.0,14.5,14.5
18:42:13.265,12,103.0,1023.0,0.0,12.0,18.55,83.1,3.0,14.5,14.5
18:42:13.355,12,103.0,1023.0,0.0,12.0,18.55,83.1,3.0,14.5,14.5
18:42:13.415,12,103.0,1023.0,0.0,12.0,18.11,83.1,3.0,14.5,14.5
18:42:13.475,12,103.0,1023.0,0.0,12.0,18.11,83.1,3.0,14.5,14.5
18:42:13.565,12,103.0,1023.0,0.0,12.0,18.11,83.1,3.0,14.5,14.5
18:42:13.655,12,103.0,1023.0,0.0,12.0,18.11,83.1,3.0,14.5,14.5
18:42:13.746,12,103.0,1023.0,0.0,12.0,18.11,83.1,3.0,14.5,14.5
18:42:13.835,12,103.0,1023.0,0.0,12.0,18.11,83.1,3.0,14.5,14.5
18:42:13.924,12,103.0,1023.0,0.0,12.0,18.11,83.1,3.0,14.5,14.5
18:42:14.015,12,103.0,1037.0,0.0,12.0,18.11,83.1,3.0,14.5,14.5
18:42:14.075,12,103.0,1037.0,0.0,12.0,18.11,83.1,3.0,14.5,14.5
18:42:14.165,12,103.0,1037.0,0.0,12.0,18.11,83.1,3.0,14.5,14.5
18:42:14.225,12,103.0,1037.0,0.0,12.0,18.88,83.1,3.0,14.5,14.5
18:42:14.404,12,103.0,1037.0,0.0,12.0,18.88,83.1,3.0,14.5,14.5
18:42:14.495,12,103.0,1037.0,0.0,12.0,18.88,83.1,3.0,14.5,14.5
18:42:14.584,12,103.0,1037.0,0.0,12.0,18.88,83.1,3.0,14.1,14.5
18:42:14.674,12,103.0,1037.0,0.0,12.0,18.88,83.1,3.0,14.1,14.5
18:42:14.765,12,103.0,1037.0,0.0,12.0,18.88,83.1,3.0,14.1,14.5
18:42:14.855,12,103.0,1037.0,0.0,12.0,18.88,83.1,3.0,14.1,14.5
18:42:14.945,12,103.0,1034.0,0.0,12.0,18.88,83.1,3.0,14.1,14.5
18:42:15.034,12,103.0,1034.0,1.0,12.0,18.88,83.1,3.0,14.1,14.5
18:42:15.124,12,103.0,1034.0,1.0,12.0,18.88,83.1,3.0,14.1,14.5
18:42:15.215,12,103.0,1034.0,1.0,12.0,18.61,83.1,3.0,14.1,14.5
18:42:15.305,12,103.0,1034.0,1.0,12.0,18.61,83.1,3.0,14.1,14.5
18:42:15.395,12,103.0,1034.0,1.0,12.0,18.61,83.1,3.0,14.1,14.5
18:42:15.484,12,103.0,1034.0,1.0,12.0,18.61,83.1,3.0,14.1,14.5
18:42:15.574,12,103.0,1034.0,1.0,12.0,18.61,83.1,3.0,14.1,14.5
18:42:15.695,12,103.0,1034.0,1.0,12.0,18.61,83.1,3.0,14.1,14.5
18:42:15.785,12,104.0,1034.0,1.0,12.0,18.61,83.1,3.0,14.1,14.5
18:42:15.874,12,104.0,1051.0,1.0,12.0,18.61,83.1,3.0,14.1,14.5
18:42:15.964,12,104.0,1051.0,2.0,12.0,18.61,83.1,3.0,14.1,14.5
18:42:16.084,12,104.0,1051.0,2.0,11.0,18.61,83.1,3.0,14.1,14.5
18:42:16.175,12,104.0,1051.0,2.0,11.0,19.44,83.1,3.0,14.1,14.5
18:42:16.265,12,104.0,1051.0,2.0,11.0,19.44,83.1,3.0,14.1,14.5
18:42:16.384,12,104.0,1051.0,2.0,11.0,19.44,83.1,3.0,14.1,14.5
18:42:16.476,12,104.0,1051.0,2.0,11.0,19.44,83.1,3.0,14.1,14.5
18:42:16.565,12,104.0,1051.0,2.0,11.0,19.44,83.1,3.0,14.1,14.5
