Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
17:24:03.374,16,,,,,,,,,
17:24:03.464,16,97.0,,,,,,,,
17:24:03.585,16,97.0,919.0,,,,,,,
17:24:03.675,16,97.0,919.0,0.0,,,,,,
17:24:03.765,16,97.0,919.0,0.0,16.0,,,,,
17:24:03.856,16,97.0,919.0,0.0,16.0,15.77,,,,
17:24:03.916,16,97.0,919.0,0.0,16.0,15.77,83.1,,,
17:24:04.005,16,97.0,919.0,0.0,16.0,15.77,83.1,6.0,,
17:24:04.066,16,97.0,919.0,0.0,16.0,15.77,83.1,6.0,14.5,
17:24:04.155,16,97.0,919.0,0.0,16.0,15.77,83.1,6.0,14.5,14.5
17:24:04.244,15,97.0,919.0,0.0,16.0,15.77,83.1,6.0,14.5,14.5
17:24:04.308,15,97.0,919.0,0.0,16.0,15.77,83.1,6.0,14.5,14.5
17:24:04.395,15,97.0,934.0,0.0,16.0,15.77,83.1,6.0,14.5,14.5
17:24:04.484,15,97.0,934.0,0.0,16.0,15.77,83.1,6.0,14.5,14.5
17:24:04.576,15,97.0,934.0,0.0,16.0,15.77,83.1,6.0,14.5,14.5
17:24:04.665,15,97.0,934.0,0.0,16.0,15.91,83.1,6.0,14.5,14.5
17:24:04.755,15,97.0,934.0,0.0,16.0,15.91,83.1,6.0,14.5,14.5
17:24:04.845,15,97.0,934.0,0.0,16.0,15.91,83.1,6.0,14.5,14.5
17:24:04.935,15,97.0,934.0,0.0,16.0,15.91,83.1,6.0,14.1,14.5
17:24:05.055,15,97.0,934.0,0.0,16.0,15.91,83.1,6.0,14.1,14.5
17:24:05.145,15,97.0,934.0,0.0,16.0,15.91,83.1,6.0,14.1,14.5
17:24:05.234,15,97.0,934.0,0.0,16.0,15.91,83.1,6.0,14.1,14.5
17:24:05.325,15,97.0,926.0,0.0,16.0,15.91,83.1,6.0,14.1,14.5
17:24:05.414,15,97.0,926.0,0.0,16.0,15.91,83.1,6.0,14.1,14.5
17:24:05.505,15,97.0,926.0,0.0,16.0,15.91,83.1,6.0,14.1,14.5
17:24:05.566,15,97.0,926.0,0.0,16.0,15.86,83.1,6.0,14.1,14.5
17:24:05.655,15,97.0,926.0,0.0,16.0,15.86,83.1,6.0,14.1,14.5
17:24:05.744,15,97.0,926.0,0.0,16.0,15.86,83.1,6.0,14.1,14.5
17:24:05.834,15,97.0,926.0,0.0,16.0,15.86,83.1,6.0,14.1,14.5
17:24:05.925,15,97.0,926.0,0.0,16.0,15.86,83.1,6.0,14.1,14.5
17:24:06.015,15,97.0,926.0,0.0,16.0,15.86,83.1,6.0,14.1,14.5
17:24:06.105,15,97.0,926.0,0.0,16.0,15.86,83.1,6.0,14.1,14.5
17:24:06.195,15,97.0,924.0,0.0,16.0,15.86,83.1,6.0,14.1,14.5
17:24:06.285,15,97.0,924.0,0.0,16.0,15.86,83.1,6.0,14.1,14.5
17:24:06.375,15,97.0,924.0,0.0,16.0,15.86,83.1,6.0,14.1,14.5
17:24:06.494,15,97.0,924.0,0.0,16.0,15.97,83.1,6.0,14.1,14.5
17:24:06.584,15,97.0,924.0,0.0,16.0,15.97,83.1,6.0,14.1,14.5
17:24:06.676,15,97.0,924.0,0.0,16.0,15.97,83.1,6.0,14.1,14.5
17:24:06.765,15,97.0,924.0,0.0,16.0,15.97,83.1,6.0,14.1,14.5
17:24:06.855,15,97.0,924.0,0.0,16.0,15.97,83.1,6.0,14.1,14.5
17:24:06.945,15,97.0,924.0,0.0,16.0,15.97,83.1,6.0,14.1,14.5
17:24:07.034,15,97.0,924.0,0.0,16.0,15.97,83.1,6.0,14.1,14.5
17:24:07.125,15,97.0,925.0,0.0,16.0,15.97,83.1,6.0,14.1,14.5
17:24:07.245,15,97.0,925.0,0.0,16.0,15.97,83.1,6.0,14.1,14.5
17:24:07.335,15,97.0,925.0,0.0,15.0,15.97,83.1,6.0,14.1,14.5
17:24:07.425,15,97.0,925.0,0.0,15.0,15.69,83.1,6.0,14.1,14.5
17:24:07.514,15,97.0,925.0,0.0,15.0,15.69,83.1,6.0,14.1,14.5
17:24:07.605,15,97.0,925.0,0.0,15.0,15.69,83.1,6.0,14.1,14.5
17:24:07.726,15,97.0,925.0,0.0,15.0,15.69,83.1,6.0,14.1,14.5
17:24:07.844,15,97.0,925.0,0.0,15.0,15.69,83.1,6.0,14.1,14.5
17:24:07.934,15,97.0,925.0,0.0,15.0,15.69,83.1,6.0,14.1,14.5
17:24:08.026,15,97.0,925.0,0.0,15.0,15.69,83.1,6.0,14.1,14.5
17:24:08.115,15,97.0,923.0,0.0,15.0,15.69,83.1,6.0,14.1,14.5
17:24:08.204,15,97.0,923.0,0.0,15.0,15.69,83.1,6.0,14.1,14.5
17:24:08.266,15,97.0,923.0,0.0,15.0,15.69,83.1,6.0,14.1,14.5
17:24:08.355,15,97.0,923.0,0.0,15.0,15.8,83.1,6.0,14.1,14.5
17:24:08.416,15,97.0,923.0,0.0,15.0,15.8,83.1,6.0,14.1,14.5
17:24:08.505,15,97.0,923.0,0.0,15.0,15.8,83.1,6.0,14.1,14.5
17:24:08.565,15,97.0,923.0,0.0,15.0,15.8,83.1,6.0,14.1,14.5
17:24:08.655,15,97.0,923.0,0.0,15.0,15.8,83.1,6.0,14.1,14.5
17:24:08.716,15,97.0,923.0,0.0,15.0,15.8,83.1,6.0,14.1,14.5
17:24:08.805,15,97.0,923.0,0.0,15.0,15.8,83.1,6.0,14.1,14.5
17:24:08.895,15,97.0,924.0,0.0,15.0,15.8,83.1,6.0,14.1,14.5
17:24:08.985,15,97.0,924.0,0.0,15.0,15.8,83.1,6.0,14.1,14.5
17:24:09.076,15,97.0,924.0,0.0,15.0,15.8,83.1,6.0,14.1,14.5
17:24:09.166,15,97.0,924.0,0.0,15.0,15.97,83.1,6.0,14.1,14.5
17:24:09.255,15,97.0,924.0,0.0,15.0,15.97,83.1,6.0,14.1,14.5
17:24:09.316,15,97.0,924.0,0.0,15.0,15.97,83.1,6.0,14.1,14.5
17:24:09.405,15,97.0,924.0,0.0,15.0,15.97,83.1,6.0,14.5,14.5
17:24:09.466,15,97.0,924.0,0.0,15.0,15.97,83.1,6.0,14.5,14.5
17:24:09.554,15,97.0,924.0,0.0,15.0,15.97,83.1,6.0,14.5,14.5
17:24:09.615,15,97.0,924.0,0.0,15.0,15.97,83.1,6.0,14.5,14.5
17:24:09.704,15,97.0,922.0,0.0,15.0,15.97,83.1,6.0,14.5,14.5
17:24:09.765,15,97.0,922.0,0.0,15.0,15.97,83.1,6.0,14.5,14.5
17:24:09.854,15,97.0,922.0,0.0,15.0,15.97,83.1,6.0,14.5,14.5
17:24:09.945,15,97.0,922.0,0.0,15.0,15.69,83.1,6.0,14.5,14.5
17:24:10.035,15,97.0,922.0,0.0,15.0,15.69,83.1,6.0,14.5,14.5
17:24:10.125,15,97.0,922.0,0.0,15.0,15.69,83.1,6.0,14.5,14.5
17:24:10.214,15,97.0,922.0,0.0,15.0,15.69,83.1,6.0,14.1,14.5
17:24:10.305,15,97.0,922.0,0.0,15.0,15.69,83.1,6.0,14.1,14.1
17:24:10.395,15,97.0,922.0,0.0,15.0,15.69,83.1,6.0,14.1,14.1
17:24:10.485,15,97.0,922.0,0.0,15.0,15.69,83.1,6.0,14.1,14.1
17:24:10.575,15,97.0,925.0,0.0,15.0,15.69,83.1,6.0,14.1,14.1
17:24:10.665,15,97.0,925.0,0.0,15.0,15.69,83.1,6.0,14.1,14.1
17:24:10.755,15,97.0,925.0,0.0,15.0,15.69,83.1,6.0,14.1,14.1
17:24:10.845,15,97.0,925.0,0.0,15.0,16.02,83.1,6.0,14.1,14.1
17:24:10.935,15,97.0,925.0,0.0,15.0,16.02,83.1,6.0,14.1,14.1
17:24:11.025,15,97.0,925.0,0.0,15.0,16.02,83.1,6.0,14.1,14.1
17:24:11.115,15,97.0,925.0,0.0,15.0,16.02,83.1,6.0,14.1,14.1
17:24:11.205,15,97.0,925.0,0.0,15.0,16.02,83.1,6.0,14.1,14.5
17:24:11.294,15,97.0,925.0,0.0,15.0,16.02,83.1,6.0,14.1,14.5
17:24:11.384,15,98.0,925.0,0.0,15.0,16.02,83.1,6.0,14.1,14.5
17:24:11.477,15,98.0,929.0,0.0,15.0,16.02,83.1,6.0,14.1,14.5
17:24:11.566,15,98.0,929.0,0.0,15.0,16.02,83.1,6.0,14.1,14.5
17:24:11.655,15,98.0,929.0,0.0,15.0,16.02,83.1,6.0,14.1,14.5
17:24:11.745,15,98.0,929.0,0.0,15.0,15.72,83.1,6.0,14.1,14.5
17:24:11.865,15,98.0,929.0,0.0,15.0,15.72,83.1,6.0,14.1,14.5
17:24:11.955,15,98.0,929.0,0.0,15.0,15.72,83.1,6.0,14.1,14.5
17:24:12.016,15,98.0,929.0,0.0,15.0,15.72,83.1,6.0,14.9,14.5
17:24:12.105,15,98.0,929.0,0.0,15.0,15.72,83.1,6.0,14.9,14.5
17:24:12.165,14,98.0,929.0,0.0,15.0,15.72,83.1,6.0,14.9,14.5
17:24:12.255,14,98.0,929.0,0.0,15.0,15.72,83.1,6.0,14.9,14.5
17:24:12.345,14,98.0,911.0,0.0,15.0,15.72,83.1,6.0,14.9,14.5
17:24:12.464,14,98.0,911.0,0.0,15.0,15.72,83.1,6.0,14.9,14.5
17:24:12.555,14,98.0,911.0,0.0,14.0,15.72,83.1,6.0,14.9,14.5
17:24:12.616,14,98.0,911.0,0.0,14.0,15.72,83.1,6.0,14.9,14.5
17:24:12.705,14,98.0,911.0,0.0,14.0,15.72,83.1,6.0,14.9,14.5
17:24:12.766,14,98.0,911.0,0.0,14.0,15.72,83.1,6.0,14.9,14.5
17:24:12.854,14,98.0,911.0,0.0,14.0,15.72,83.1,6.0,14.9,14.5
17:24:12.915,14,98.0,911.0,0.0,14.0,15.72,83.1,6.0,14.9,14.5
17:24:13.005,14,98.0,911.0,0.0,14.0,15.72,83.1,6.0,14.9,14.5
17:24:13.066,14,98.0,911.0,0.0,14.0,15.72,83.1,6.0,14.9,14.5
17:24:13.154,14,98.0,930.0,0.0,14.0,15.72,83.1,6.0,14.9,14.5
17:24:13.216,14,98.0,930.0,0.0,14.0,15.72,83.1,6.0,14.9,14.5
17:24:13.305,14,98.0,930.0,0.0,14.0,15.72,83.1,6.0,14.9,14.5
17:24:13.366,14,98.0,930.0,0.0,14.0,15.91,83.1,6.0,14.9,14.5
17:24:13.454,14,98.0,930.0,0.0,14.0,15.91,83.1,6.0,14.9,14.5
17:24:13.575,14,98.0,930.0,0.0,14.0,15.91,83.1,6.0,14.9,14.5
17:24:13.665,14,98.0,930.0,0.0,14.0,15.91,83.1,6.0,14.1,14.5
17:24:13.754,14,98.0,930.0,0.0,14.0,15.91,83.1,6.0,14.1,14.5
17:24:13.816,14,98.0,930.0,0.0,14.0,15.91,83.1,6.0,14.1,14.5
17:24:13.905,14,98.0,930.0,0.0,14.0,15.91,83.1,6.0,14.1,14.5
17:24:13.966,14,98.0,951.0,0.0,14.0,15.91,83.1,6.0,14.1,14.5
17:24:14.085,14,98.0,951.0,1.0,14.0,15.91,83.1,6.0,14.1,14.5
17:24:14.175,14,98.0,951.0,1.0,15.0,15.91,83.1,6.0,14.1,14.5
17:24:14.265,14,98.0,951.0,1.0,15.0,16.19,83.1,6.0,14.1,14.5
17:24:14.355,14,98.0,951.0,1.0,15.0,16.19,83.1,6.0,14.1,14.5
17:24:14.416,14,98.0,951.0,1.0,15.0,16.19,83.1,6.0,14.1,14.5
17:24:14.505,14,98.0,951.0,1.0,15.0,16.19,83.1,6.0,14.1,14.5
17:24:14.566,14,98.0,951.0,1.0,15.0,16.19,83.1,6.0,14.1,14.5
17:24:14.656,14,98.0,951.0,1.0,15.0,16.19,83.1,6.0,14.1,14.5
17:24:14.716,14,99.0,951.0,1.0,15.0,16.19,83.1,6.0,14.1,14.5
17:24:14.805,14,99.0,942.0,1.0,15.0,16.19,83.1,6.0,14.1,14.5
17:24:14.866,14,99.0,942.0,1.0,15.0,16.19,83.1,6.0,14.1,14.5
17:24:14.955,14,99.0,942.0,1.0,15.0,16.19,83.1,6.0,14.1,14.5
17:24:15.016,14,99.0,942.0,1.0,15.0,15.94,83.1,6.0,14.1,14.5
17:24:15.105,14,99.0,942.0,1.0,15.0,15.94,83.1,6.0,14.1,14.5
