Time,Engine Coolant Temperature [°C],Intake Manifold Absolute Pressure [kPa],Engine RPM [RPM],Vehicle Speed Sensor [km/h],Intake Air Temperature [°C],Air Flow Rate from Mass Flow Sensor [g/s],Absolute Throttle Position [%],Ambient Air Temperature [°C],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%]
19:55:06.088,24,,,,,,,,,
19:55:06.179,24,101.0,,,,,,,,
19:55:06.268,24,101.0,875.0,,,,,,,
19:55:06.358,24,101.0,875.0,0.0,,,,,,
19:55:06.448,24,101.0,875.0,0.0,23.0,,,,,
19:55:06.538,24,101.0,875.0,0.0,23.0,10.22,,,,
19:55:06.628,24,101.0,875.0,0.0,23.0,10.22,83.1,,,
19:55:06.718,24,101.0,875.0,0.0,23.0,10.22,83.1,16.0,,
19:55:06.808,24,101.0,875.0,0.0,23.0,10.22,83.1,16.0,14.1,
19:55:06.898,24,101.0,875.0,0.0,23.0,10.22,83.1,16.0,14.1,14.5
19:55:06.989,24,101.0,875.0,0.0,23.0,10.22,83.1,16.0,14.1,14.5
19:55:07.078,24,101.0,875.0,0.0,23.0,10.22,83.1,16.0,14.1,14.5
19:55:07.169,24,101.0,876.0,0.0,23.0,10.22,83.1,16.0,14.1,14.5
19:55:07.259,24,101.0,876.0,0.0,23.0,10.22,83.1,16.0,14.1,14.5
19:55:07.350,24,101.0,876.0,0.0,23.0,10.22,83.1,16.0,14.1,14.5
19:55:07.438,24,101.0,876.0,0.0,23.0,10.02,83.1,16.0,14.1,14.5
19:55:07.530,24,101.0,876.0,0.0,23.0,10.02,83.1,16.0,14.1,14.5
19:55:07.619,24,101.0,876.0,0.0,23.0,10.02,83.1,16.0,14.1,14.5
19:55:07.709,24,101.0,876.0,0.0,23.0,10.02,83.1,16.0,14.1,14.5
19:55:07.800,24,101.0,876.0,0.0,23.0,10.02,83.1,16.0,14.1,14.5
19:55:07.889,24,101.0,876.0,0.0,23.0,10.02,83.1,16.0,14.1,14.5
19:55:07.978,24,101.0,876.0,0.0,23.0,10.02,83.1,16.0,14.1,14.5
19:55:08.068,24,101.0,874.0,0.0,23.0,10.02,83.1,16.0,14.1,14.5
19:55:08.158,24,101.0,874.0,0.0,23.0,10.02,83.1,16.0,14.1,14.5
19:55:08.248,24,101.0,874.0,0.0,23.0,10.02,83.1,16.0,14.1,14.5
19:55:08.309,24,101.0,874.0,0.0,23.0,10.19,83.1,16.0,14.1,14.5
19:55:08.399,24,101.0,874.0,0.0,23.0,10.19,83.1,16.0,14.1,14.5
19:55:08.489,24,101.0,874.0,0.0,23.0,10.19,83.1,16.0,14.1,14.5
19:55:08.578,24,101.0,874.0,0.0,23.0,10.19,83.1,16.0,14.1,14.5
19:55:08.668,24,101.0,874.0,0.0,23.0,10.19,83.1,16.0,14.1,14.5
19:55:08.759,24,101.0,874.0,0.0,23.0,10.19,83.1,16.0,14.1,14.5
19:55:08.849,24,101.0,874.0,0.0,23.0,10.19,83.1,16.0,14.1,14.5
19:55:08.938,24,101.0,876.0,0.0,23.0,10.19,83.1,16.0,14.1,14.5
19:55:09.028,24,101.0,876.0,0.0,23.0,10.19,83.1,16.0,14.1,14.5
19:55:09.118,24,101.0,876.0,0.0,23.0,10.19,83.1,16.0,14.1,14.5
19:55:09.238,24,101.0,876.0,0.0,23.0,10.11,83.1,16.0,14.1,14.5
19:55:09.328,24,101.0,876.0,0.0,23.0,10.11,83.1,16.0,14.1,14.5
19:55:09.418,24,101.0,876.0,0.0,23.0,10.11,83.1,16.0,14.1,14.5
19:55:09.509,24,101.0,876.0,0.0,23.0,10.11,83.1,16.0,14.5,14.5
19:55:09.599,24,101.0,876.0,0.0,23.0,10.11,83.1,16.0,14.5,14.5
19:55:09.689,24,101.0,876.0,0.0,23.0,10.11,83.1,16.0,14.5,14.5
19:55:09.778,24,100.0,876.0,0.0,23.0,10.11,83.1,16.0,14.5,14.5
19:55:09.868,24,100.0,929.0,0.0,23.0,10.11,83.1,16.0,14.5,14.5
19:55:09.959,24,100.0,929.0,0.0,23.0,10.11,83.1,16.0,14.5,14.5
19:55:10.049,24,100.0,929.0,0.0,23.0,10.11,83.1,16.0,14.5,14.5
19:55:10.138,24,100.0,929.0,0.0,23.0,11.47,83.1,16.0,14.5,14.5
19:55:10.228,24,100.0,929.0,0.0,23.0,11.47,83.1,16.0,14.5,14.5
19:55:10.318,24,100.0,929.0,0.0,23.0,11.47,83.1,16.0,14.5,14.5
19:55:10.409,24,100.0,929.0,0.0,23.0,11.47,83.1,16.0,14.5,14.5
19:55:10.499,24,100.0,929.0,0.0,23.0,11.47,83.1,16.0,14.5,14.5
19:55:10.588,24,100.0,929.0,0.0,23.0,11.47,83.1,16.0,14.5,14.5
19:55:10.678,24,101.0,929.0,0.0,23.0,11.47,83.1,16.0,14.5,14.5
19:55:10.769,24,101.0,946.0,0.0,23.0,11.47,83.1,16.0,14.5,14.5
19:55:10.858,24,101.0,946.0,0.0,23.0,11.47,83.1,16.0,14.5,14.5
19:55:10.949,24,101.0,946.0,0.0,24.0,11.47,83.1,16.0,14.5,14.5
19:55:11.038,24,101.0,946.0,0.0,24.0,10.91,83.1,16.0,14.5,14.5
19:55:11.128,24,101.0,946.0,0.0,24.0,10.91,83.1,16.0,14.5,14.5
19:55:11.219,24,101.0,946.0,0.0,24.0,10.91,83.1,16.0,14.5,14.5
19:55:11.309,24,101.0,946.0,0.0,24.0,10.91,83.1,16.0,14.5,14.5
19:55:11.398,24,101.0,946.0,0.0,24.0,10.91,83.1,16.0,14.5,14.5
19:55:11.519,24,101.0,946.0,0.0,24.0,10.91,83.1,16.0,14.5,14.5
19:55:11.608,24,101.0,946.0,0.0,24.0,10.91,83.1,16.0,14.5,14.5
